Symbol,Type,Strike,Moneyness,Open,High,Low,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Time,"Exp Date",DTE
BNTX|20230120|30.00C,Call,30.00,+86.76%,194.38,194.38,194.38,194.38,0.00,unch,0,6,0.00,118.19%,06/30/21,01/20/23,380
BNTX|20230120|35.00C,Call,35.00,+84.55%,117.00,117.00,117.00,117.00,0.00,unch,0,1,0.00,118.16%,04/19/21,01/20/23,380
BNTX|20230120|40.00C,Call,40.00,+82.34%,323.01,323.01,323.01,323.01,0.00,unch,0,5,0.00,108.72%,08/24/21,01/20/23,380
BNTX|20230120|45.00C,Call,45.00,+80.14%,73.99,73.99,73.99,73.99,0.00,unch,0,3,0.00,103.84%,01/28/21,01/20/23,380
BNTX|20230120|50.00C,Call,50.00,+77.93%,203.00,203.00,203.00,203.00,0.00,unch,0,54,0.00,96.94%,10/15/21,01/20/23,380
BNTX|20230120|55.00C,Call,55.00,+75.72%,0.00,0.00,0.00,0.00,0.00,unch,0,0,0.00,90.80%,N/A,01/20/23,380
BNTX|20230120|60.00C,Call,60.00,+73.52%,272.00,272.00,272.00,272.00,0.00,unch,0,5,0.00,92.15%,09/02/21,01/20/23,380
BNTX|20230120|65.00C,Call,65.00,+71.31%,175.00,175.00,175.00,175.00,0.00,unch,0,9,0.00,87.05%,06/11/21,01/20/23,380
BNTX|20230120|70.00C,Call,70.00,+69.10%,273.50,273.50,273.44,273.44,0.00,unch,0,12,0.00,81.81%,08/02/21,01/20/23,380
BNTX|20230120|75.00C,Call,75.00,+66.90%,118.00,118.00,118.00,118.00,0.00,unch,0,6,0.00,81.17%,05/05/21,01/20/23,380
BNTX|20230120|80.00C,Call,80.00,+64.69%,128.15,128.15,128.15,128.15,0.00,unch,0,101,0.00,80.22%,06/16/21,01/20/23,380
BNTX|20230120|85.00C,Call,85.00,+62.48%,220.00,220.00,220.00,220.00,0.00,unch,0,2,0.00,78.04%,11/22/21,01/20/23,380
BNTX|20230120|90.00C,Call,90.00,+60.28%,193.30,193.30,192.50,192.50,0.00,unch,0,103,0.00,76.06%,11/19/21,01/20/23,380
BNTX|20230120|95.00C,Call,95.00,+58.07%,69.50,69.50,69.50,69.50,0.00,unch,0,15,0.00,75.45%,04/20/21,01/20/23,380
