,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
0,5.793307971954346,10,1,0.1,50,0.0011811141019279602,492,52
1,6.7663061141967775,10,1,0.1,100,0.00025374092219863085,490,100
2,10.981434106826782,10,1,0.1,500,0.024797618825687096,652,502
3,9.156514883041382,10,1,0.1,1000,0.032000896742101756,667,1000
4,8.496280145645141,10,1,0.1,5000,0.0388912096619606,702,5002
5,9.503387355804444,10,1,0.1,10000,0.039459527283906934,735,10000
6,16.34110321998596,10,1,0.1,50000,0.03902928903698921,716,50002
7,11.173920011520385,10,1,0.01,50,1.7464259690314067e-05,445,52
8,8.276269340515137,10,1,0.01,100,8.02640529400378e-06,422,100
9,9.643413305282593,10,1,0.01,500,1.0094084245793056e-06,329,502
10,10.926382493972778,10,1,0.01,1000,1.124088047532723e-07,227,1000
11,12.688470888137818,10,1,0.01,5000,1.6914546563384647e-07,249,5002
12,18.16642279624939,10,1,0.01,10000,4.839942420176158e-07,291,10000
13,30.243326568603514,10,1,0.01,50000,0.00761614232677772,541,50002
14,17.55226364135742,10,1,0.005,50,2.9193660975579405e-05,467,52
15,10.152051496505738,10,1,0.005,100,6.888014149808442e-06,414,100
16,13.12729606628418,10,1,0.005,500,1.4975364877045648e-07,243,502
17,14.540318250656128,10,1,0.005,1000,5.2627369129254475e-08,174,1000
18,19.080776739120484,10,1,0.005,5000,1.6675112021857786e-06,360,5002
19,24.703142404556274,10,1,0.005,10000,3.7397021301899255e-08,153,10000
20,30.488671112060548,10,1,0.005,50000,1.809267318186869e-08,117,50002
21,21.350108337402343,10,1,0.001,50,6.484260652541706e-05,487,52
22,14.33187518119812,10,1,0.001,100,2.717547108659346e-05,465,100
23,14.305545806884766,10,1,0.001,500,1.2808772851258254e-07,238,502
24,15.373490524291991,10,1,0.001,1000,6.761894537632429e-08,186,1000
25,16.112628602981566,10,1,0.001,5000,5.0296608122835095e-08,173,5002
26,15.618042230606079,10,1,0.001,10000,3.7943440744925283e-07,280,10000
27,29.985816097259523,10,1,0.001,50000,8.399320585716908e-08,204,50002
28,19.116481065750122,10,2,0.1,50,0.03280614089453593,669,57
29,10.908828449249267,10,2,0.1,100,0.015173329127719626,596,117
30,9.945006179809571,10,2,0.1,500,0.011679508155793883,584,525
31,13.099171876907349,10,2,0.1,1000,0.024522440310101958,649,1053
32,12.38448338508606,10,2,0.1,5000,0.042103128880262373,748,5026
33,11.326911211013794,10,2,0.1,10000,0.03964669331908226,738,10181
34,13.859937238693238,10,2,0.1,50000,0.04029461219906807,743,50124
35,11.699514150619507,10,2,0.01,50,0.024528845438362624,650,57
36,15.345565176010131,10,2,0.01,100,1.4759056284674443e-05,441,117
37,15.395630836486816,10,2,0.01,500,1.2793095811503008e-05,436,525
38,15.29111065864563,10,2,0.01,1000,8.848669017424981e-06,426,1053
39,13.95408592224121,10,2,0.01,5000,2.0136352603117302e-06,364,5026
40,16.153205394744873,10,2,0.01,10000,2.0547947571003532e-06,365,10181
41,20.875178575515747,10,2,0.01,50000,5.795752579729197e-06,407,50124
42,16.523214721679686,10,2,0.005,50,0.00702047341492289,524,57
43,20.468066596984862,10,2,0.005,100,0.016018514998859246,612,117
44,11.299185180664063,10,2,0.005,500,1.7929941918737312e-06,362,525
45,14.542911767959595,10,2,0.005,1000,5.971004867433294e-07,305,1053
46,20.004705953598023,10,2,0.005,5000,6.21148402046856e-08,183,5026
47,19.591012382507323,10,2,0.005,10000,1.9708888814307103e-07,253,10181
48,22.330885553359984,10,2,0.005,50000,1.6548209460509611e-07,248,50124
49,18.40638017654419,10,2,0.001,50,0.0177860321053231,624,57
50,29.952130842208863,10,2,0.001,100,7.216155199785135e-06,416,117
51,18.14388198852539,10,2,0.001,500,5.773491739091696e-06,405,525
52,16.288064193725585,10,2,0.001,1000,3.052288676030912e-06,381,1053
53,15.571604824066162,10,2,0.001,5000,2.6784933808698953e-07,266,5026
54,15.98114104270935,10,2,0.001,10000,7.379093105441826e-08,197,10181
55,21.90422682762146,10,2,0.001,50000,6.704949697677876e-08,185,50124
56,14.79244384765625,10,3,0.1,50,0.03503854157170281,670,59
57,15.283729743957519,10,3,0.1,100,0.04176956191658974,747,119
58,16.91895761489868,10,3,0.1,500,0.030742332656518555,661,527
59,14.501429891586303,10,3,0.1,1000,0.03159871368843596,663,1055
60,18.36572961807251,10,3,0.1,5000,0.0424618273973465,750,5183
61,16.340321445465086,10,3,0.1,10000,0.0390703521668911,719,10183
62,20.641602945327758,10,3,0.1,50000,0.0389099083840847,707,50319
63,19.32512273788452,10,3,0.01,50,0.00868741192844027,575,59
64,17.49401960372925,10,3,0.01,100,2.2187289459907333e-05,454,119
65,17.89674243927002,10,3,0.01,500,0.014424551163790511,588,527
66,14.35122365951538,10,3,0.01,1000,3.7583335938506933e-06,388,1055
67,19.185097026824952,10,3,0.01,5000,3.460424637324877e-06,384,5183
68,22.324303436279298,10,3,0.01,10000,1.1160213688299337e-06,337,10183
69,32.725290060043335,10,3,0.01,50000,8.693919610891498e-07,321,50319
70,25.999488639831544,10,3,0.005,50,0.015431835682966267,601,59
71,27.204506969451906,10,3,0.005,100,9.198601628668256e-06,429,119
72,22.549926424026488,10,3,0.005,500,2.3799216762654396e-05,459,527
73,15.759657526016236,10,3,0.005,1000,2.633885696923244e-06,374,1055
74,15.805733823776245,10,3,0.005,5000,2.7819600063594406e-07,269,5183
75,23.08766198158264,10,3,0.005,10000,1.069704655520809e-07,221,10183
76,25.80699028968811,10,3,0.005,50000,1.2004791258846125e-07,234,50319
77,30.216199922561646,10,3,0.001,50,0.007621136053012378,545,59
78,23.454480504989625,10,3,0.001,100,0.008451960425236393,567,119
79,15.42634882926941,10,3,0.001,500,2.7299380917611414e-06,376,527
80,15.89609317779541,10,3,0.001,1000,2.1492817836588074e-06,366,1055
81,15.087255430221557,10,3,0.001,5000,7.633696384345967e-07,312,5183
