,fit_time,batch_size,learning_rate,n_weights,test_score,rank,actual_weights
0,3.4709216117858888,400,0.1,30,1.1560688471945469e-05,219,31
1,3.5752432346343994,400,0.1,60,4.874814840150065e-06,205,61
2,2.546193504333496,400,0.1,100,5.378118817134236e-06,207,100
3,2.418535280227661,400,0.1,300,0.007492171407648129,295,301
4,2.135890007019043,400,0.1,600,0.020319362729787828,300,601
5,2.0872206687927246,400,0.1,1000,0.039340293407440184,343,1000
6,4.059548330307007,400,0.1,3000,0.039324751496315,319,3001
7,6.89277458190918,400,0.1,6000,0.03932400047779083,316,6001
8,12.391076040267944,400,0.1,10000,0.03932700306177139,328,10000
9,32.92279057502746,400,0.1,30000,0.039326130598783496,326,30001
10,14.619718742370605,400,0.05,30,0.0015396486919598829,256,31
11,3.698114538192749,400,0.05,60,2.6434946676090476e-06,198,61
12,2.5102894783020018,400,0.05,100,8.536781137991056e-07,191,100
13,3.3927307605743406,400,0.05,300,4.0785743991023084e-07,178,301
14,4.0266358852386475,400,0.05,600,2.6618824620072703e-07,170,601
15,5.005818700790405,400,0.05,1000,4.5288878727234303e-07,181,1000
16,4.354559087753296,400,0.05,3000,0.03931625485420227,305,3001
17,6.655608415603638,400,0.05,6000,0.03933321014046669,333,6001
18,11.033107042312622,400,0.05,10000,0.039321639388799665,309,10000
19,21.62880539894104,400,0.05,30000,0.03932414576411247,317,30001
20,14.93988003730774,400,0.01,30,0.001576273525643046,265,31
21,5.145644998550415,400,0.01,60,5.979057914373698e-06,211,61
22,3.996118402481079,400,0.01,100,3.7819603448951966e-06,202,100
23,3.024714469909668,400,0.01,300,1.5017798453698107e-07,156,301
24,3.5144049167633056,400,0.01,600,6.160101473362545e-09,106,601
25,5.957075595855713,400,0.01,1000,1.8267952150985423e-09,90,1000
26,31.526126670837403,400,0.01,3000,1.038306524092647e-10,23,3001
27,52.008580684661865,400,0.01,6000,3.359735023522603e-09,99,6001
28,55.532566165924074,400,0.01,10000,1.0510359205184727e-08,119,10000
29,118.51382617950439,400,0.01,30000,2.649380090313791e-10,61,30001
30,20.211171627044678,400,0.005,30,0.003271683520506485,285,31
31,23.750112104415894,400,0.005,60,0.001688910066752669,275,61
32,8.854930448532105,400,0.005,100,2.2607910386795994e-05,232,100
33,4.978491497039795,400,0.005,300,1.8335050242512806e-07,161,301
34,4.360942363739014,400,0.005,600,6.064576916209318e-08,144,601
35,6.233735418319702,400,0.005,1000,9.78823653241534e-09,118,1000
36,15.342785787582397,400,0.005,3000,2.002537288769979e-10,47,3001
37,48.8466233253479,400,0.005,6000,5.3208403308357964e-11,6,6001
38,104.91528329849243,400,0.005,10000,3.3704972840498115e-11,3,10000
39,161.57117519378662,400,0.005,30000,4.494630312379399e-09,103,30001
40,41.50784287452698,400,0.001,30,0.003123459681228269,279,31
41,24.667858505249022,400,0.001,60,5.271132577036042e-05,250,61
42,17.016512393951416,400,0.001,100,2.3246123964781874e-05,233,100
43,12.884956169128419,400,0.001,300,4.213068635294803e-07,180,301
44,10.37167410850525,400,0.001,600,6.563440777540563e-08,147,601
45,13.310219526290894,400,0.001,1000,8.645773075244278e-09,115,1000
46,30.12427215576172,400,0.001,3000,4.4519534725395717e-10,72,3001
47,55.4268337726593,400,0.001,6000,1.4677719595290739e-10,34,6001
48,78.55401129722595,400,0.001,10000,1.3815636412672915e-10,32,10000
49,141.3910364627838,400,0.001,30000,5.946528131017814e-11,8,30001
50,50.638234281539916,400,0.0005,30,0.0017130255697338725,278,31
51,24.797710561752318,400,0.0005,60,0.0015902400037703045,271,61
52,16.172168445587157,400,0.0005,100,6.573835685230734e-06,213,100
53,18.438312768936157,400,0.0005,300,2.287847550519473e-07,168,301
54,16.43985323905945,400,0.0005,600,6.194378379120736e-08,145,601
55,26.354748725891113,400,0.0005,1000,8.60361470955695e-09,114,1000
56,55.9211124420166,400,0.0005,3000,5.421524007509504e-10,73,3001
57,93.37280988693237,400,0.0005,6000,2.1782340653420106e-10,54,6001
58,150.46738495826722,400,0.0005,10000,7.690699535545242e-11,14,10000
59,193.45904769897462,400,0.0005,30000,7.257194845067261e-11,13,30001
60,60.50785155296326,400,0.0001,30,0.012736637209309265,299,31
61,39.179265880584715,400,0.0001,60,0.0015867286043430794,268,61
62,34.718989849090576,400,0.0001,100,1.887131340936321e-05,221,100
63,27.882465410232545,400,0.0001,300,1.2432048634991588e-07,154,301
64,32.98921346664429,400,0.0001,600,2.01505013563974e-08,130,601
65,56.99125127792358,400,0.0001,1000,6.862345180991269e-09,109,1000
66,104.62970561981201,400,0.0001,3000,6.302405763936037e-10,75,3001
67,212.4052023410797,400,0.0001,6000,2.1601122418557494e-10,53,6001
68,320.564870595932,400,0.0001,10000,7.889891726065024e-11,16,10000
69,451.26634030342103,400,0.0001,30000,8.988248617614048e-11,19,30001
70,20.859039640426637,500,0.1,30,2.518051503557217e-05,236,31
71,29.270155572891234,500,0.1,60,4.819139235223702e-06,204,61
72,18.65732560157776,500,0.1,100,3.412546215031398e-05,242,100
73,17.95380654335022,500,0.1,300,5.4760311132895365e-05,251,301
74,13.249633932113648,500,0.1,600,0.039319100230932234,306,601
75,12.79838581085205,500,0.1,1000,0.03932707607746124,329,1000
76,17.054609966278075,500,0.1,3000,0.03932377249002457,314,3001
77,16.050692653656007,500,0.1,6000,0.03933483362197876,338,6001
78,20.513763236999512,500,0.1,10000,0.039325597882270816,322,10000
79,50.44945650100708,500,0.1,30000,0.039325439184904096,320,30001
80,15.7617693901062,500,0.05,30,2.55067779107776e-05,237,31
81,6.991111803054809,500,0.05,60,2.1651433257829923e-06,196,61
82,5.642117881774903,500,0.05,100,5.136848557185659e-07,184,100
83,7.596693754196167,500,0.05,300,5.766210733781918e-07,187,301
84,6.222566413879394,500,0.05,600,3.084064786662566e-07,174,601
85,6.673759031295776,500,0.05,1000,5.458638807631644e-07,185,1000
86,6.362590074539185,500,0.05,3000,0.03933385312557221,336,3001
87,9.391494274139404,500,0.05,6000,0.039324596524238586,318,6001
88,12.63901400566101,500,0.05,10000,0.03932671695947647,327,10000
89,39.29795083999634,500,0.05,30000,0.03932584524154663,324,30001
90,18.14110584259033,500,0.01,30,0.003243587379802193,283,31
91,10.612430810928345,500,0.01,60,0.001576313731538903,266,61
92,5.642316770553589,500,0.01,100,2.1189785991282405e-05,226,100
93,3.9189244747161864,500,0.01,300,9.970494971867083e-08,152,301
94,6.383337068557739,500,0.01,600,3.9923486738757674e-09,101,601
95,7.574152994155884,500,0.01,1000,4.147193566339524e-09,102,1000
96,37.69244050979614,500,0.01,3000,2.382632688369135e-10,56,3001
97,77.2147912979126,500,0.01,6000,2.658861247839539e-09,96,6001
98,73.33416466712951,500,0.01,10000,1.1228805529839292e-08,121,10000
99,141.426939868927,500,0.01,30000,3.063154549454161e-10,67,30001
100,43.06647596359253,500,0.005,30,5.6234950534417294e-05,252,31
101,18.454667139053345,500,0.005,60,2.077302392535785e-05,225,61
102,6.457937431335449,500,0.005,100,8.14031088793854e-06,217,100
103,5.551958274841309,500,0.005,300,1.3014742137329449e-07,155,301
104,6.448362684249878,500,0.005,600,1.6953106296568877e-08,126,601
105,5.601625680923462,500,0.005,1000,1.9790834038246884e-08,129,1000
106,17.793435192108156,500,0.005,3000,2.8924764666760083e-10,66,3001
107,51.23404231071472,500,0.005,6000,1.854234099596397e-10,41,6001
108,120.55534062385559,500,0.005,10000,2.989630903948992e-11,1,10000
109,194.88646712303162,500,0.005,30000,2.8430563681069997e-09,97,30001
110,27.66805214881897,500,0.001,30,0.003123938577482477,280,31
111,30.45598683357239,500,0.001,60,0.0016816378928524501,274,61
112,24.317195987701417,500,0.001,100,3.3726860419847074e-05,241,100
113,13.280099821090698,500,0.001,300,8.974990066690225e-07,192,301
114,12.21514663696289,500,0.001,600,4.942943654384635e-08,141,601
115,15.353357648849487,500,0.001,1000,9.272190037989958e-09,116,1000
116,33.61334538459778,500,0.001,3000,4.414122789508923e-10,71,3001
117,76.54657659530639,500,0.001,6000,1.3126345427272311e-10,31,6001
118,104.6612205028534,500,0.001,10000,6.878797115250635e-11,10,10000
119,141.45446672439576,500,0.001,30000,5.885493134516473e-11,7,30001
120,39.078934860229495,500,0.0005,30,0.006336993185141182,293,31
121,43.339944219589235,500,0.0005,60,0.0015459493681191816,258,61
122,21.153651857376097,500,0.0005,100,8.33004132800852e-06,218,100
123,13.87790036201477,500,0.0005,300,2.081976319345813e-07,165,301
124,15.314660549163818,500,0.0005,600,7.206833814166203e-08,148,601
125,21.74886088371277,500,0.0005,1000,1.6344772468812608e-08,125,1000
126,45.85920958518982,500,0.0005,3000,7.432555404474073e-10,77,3001
127,121.93863668441773,500,0.0005,6000,1.9540710161081165e-10,44,6001
128,146.18482184410095,500,0.0005,10000,1.0130551675313626e-10,21,10000
129,221.26192655563355,500,0.0005,30000,7.177650418466186e-11,12,30001
130,88.77229380607605,500,0.0001,30,0.004629522759387328,288,31
131,40.06330366134644,500,0.0001,60,0.001542104158716029,257,61
132,29.82507300376892,500,0.0001,100,1.6564647262384823e-05,220,100
133,34.330229139328004,500,0.0001,300,1.8788866498198332e-07,163,301
134,36.26705160140991,500,0.0001,600,3.0888638846704454e-08,135,601
135,61.08191657066345,500,0.0001,1000,9.611730966696541e-09,117,1000
136,111.1742118358612,500,0.0001,3000,1.5501329830858169e-09,86,3001
137,250.2796043872833,500,0.0001,6000,2.638678164856856e-10,60,6001
138,380.44602661132814,500,0.0001,10000,1.2417592648583664e-10,30,10000
139,615.3960450172424,500,0.0001,30000,4.235098625959832e-11,5,30001
140,19.356656217575072,700,0.1,30,2.944168873000308e-05,239,31
141,20.707047510147095,700,0.1,60,5.902180100747501e-06,210,61
142,15.986267042160033,700,0.1,100,5.0118716626457174e-05,249,100
143,15.415193271636962,700,0.1,300,0.023271419631328172,301,301
144,12.807984256744385,700,0.1,600,0.031400512270920444,302,601
145,12.9180899143219,700,0.1,1000,0.03933927342295647,342,1000
146,17.44656252861023,700,0.1,3000,0.0393347404897213,337,3001
147,24.752631425857544,700,0.1,6000,0.03932398855686188,315,6001
148,28.13399472236633,700,0.1,10000,0.03933350369334221,334,10000
149,68.48253464698792,700,0.1,30000,0.039325670897960664,323,30001
150,14.18089156150818,700,0.05,30,0.009642845689586465,297,31
151,11.133239221572875,700,0.05,60,1.7472505305704543e-06,195,61
152,10.544013833999633,700,0.05,100,2.670160853313064e-07,171,100
153,8.903200960159301,700,0.05,300,4.734333259648338e-07,183,301
154,10.989423418045044,700,0.05,600,6.434645001718308e-07,188,601
155,9.246283531188965,700,0.05,1000,9.510697168479965e-07,193,1000
156,6.3139220714569095,700,0.05,3000,0.039321646094322205,310,3001
157,8.73305549621582,700,0.05,6000,0.03933788239955902,341,6001
158,14.714465045928955,700,0.05,10000,0.039322254806756975,311,10000
159,29.597878885269164,700,0.05,30000,0.039325575530529025,321,30001
160,9.505789232254028,700,0.01,30,0.001621692202752456,273,31
161,11.072200870513916,700,0.01,60,2.2178112772053282e-05,231,61
162,4.307884216308594,700,0.01,100,2.1963937945201907e-05,230,100
163,4.394453430175782,700,0.01,300,8.168749729975388e-08,150,301
164,4.495981645584107,700,0.01,600,2.119347097817581e-08,131,601
165,10.418349504470825,700,0.01,1000,1.6822692378015702e-09,88,1000
166,34.5261043548584,700,0.01,3000,2.0891496588237858e-10,51,3001
167,95.62098679542541,700,0.01,6000,2.1784180903594575e-09,93,6001
168,80.84309148788452,700,0.01,10000,6.457071233256784e-09,107,10000
169,165.88062205314637,700,0.01,30000,2.0879100393056405e-10,50,30001
170,28.2832049369812,700,0.005,30,0.001587480152011267,269,31
171,30.49249792098999,700,0.005,60,3.7866188131374655e-05,246,61
172,10.973266506195069,700,0.005,100,6.794995044856478e-06,214,100
173,8.398947763442994,700,0.005,300,2.982383449534609e-07,173,301
174,9.589166164398193,700,0.005,600,2.739455258193857e-08,133,601
175,7.658327102661133,700,0.005,1000,6.679682851284951e-09,108,1000
176,21.216285037994385,700,0.005,3000,2.6916832790435665e-10,63,3001
177,69.58638305664063,700,0.005,6000,1.1741051464397855e-10,28,6001
178,148.63527102470397,700,0.005,10000,7.118500684744067e-11,11,10000
179,251.46558547019958,700,0.005,30000,2.068279703060227e-09,92,30001
180,41.790885066986085,700,0.001,30,0.00908928470526007,296,31
181,36.309339427948,700,0.001,60,0.0015549809993444796,259,61
182,22.460958909988403,700,0.001,100,2.134608532742277e-05,228,100
183,15.660735988616944,700,0.001,300,3.931999614792403e-07,177,301
184,15.28673586845398,700,0.001,600,4.359469407688721e-08,140,601
185,15.364727354049682,700,0.001,1000,1.3945195664888388e-08,122,1000
186,40.68184990882874,700,0.001,3000,6.62446186794341e-10,76,3001
187,79.09029126167297,700,0.001,6000,1.8752469022054186e-10,42,6001
188,135.3166645526886,700,0.001,10000,1.0705729913684792e-10,24,10000
189,166.22844071388243,700,0.001,30000,7.84433663858497e-11,15,30001
190,43.15184788703918,700,0.0005,30,0.0032805901362735314,286,31
191,30.422474336624145,700,0.0005,60,2.132545096173999e-05,227,61
192,19.119090843200684,700,0.0005,100,3.969908302678959e-05,247,100
193,13.529035091400146,700,0.0005,300,2.6893849280895665e-07,172,301
194,17.873222446441652,700,0.0005,600,5.994964169531158e-08,143,601
195,22.111093378067018,700,0.0005,1000,1.9726154132371222e-08,128,1000
196,55.75036911964416,700,0.0005,3000,1.1688918499785928e-09,82,3001
197,135.48322715759278,700,0.0005,6000,2.4288877298328517e-10,58,6001
198,164.21222991943358,700,0.0005,10000,1.1488968110207054e-10,26,10000
199,262.20228414535524,700,0.0005,30000,1.1664114465959052e-10,27,30001
200,95.19672093391418,700,0.0001,30,0.004926782453276246,292,31
201,49.37321562767029,700,0.0001,60,0.001558835221658228,261,61
202,31.64759979248047,700,0.0001,100,3.737087649824389e-06,201,100
203,32.52844581604004,700,0.0001,300,1.579494025349959e-07,158,301
204,47.89596514701843,700,0.0001,600,3.838231492636623e-08,138,601
205,72.94540371894837,700,0.0001,1000,8.244076710184344e-09,111,1000
206,131.8244125843048,700,0.0001,3000,8.977803556131647e-10,79,3001
207,303.82362270355225,700,0.0001,6000,3.3609334482154197e-10,68,6001
208,416.5243515968323,700,0.0001,10000,1.198812243918823e-10,29,10000
209,698.5548758029938,700,0.0001,30000,8.067665528688206e-11,17,30001
210,33.42425084114075,1000,0.1,30,3.640623758656147e-05,245,31
211,33.428253173828125,1000,0.1,60,2.6180922350249603e-05,238,61
212,25.57127194404602,1000,0.1,100,2.3001692170510067e-06,197,100
213,19.394197177886962,1000,0.1,300,0.0032500959399840213,284,301
214,14.881419372558593,1000,0.1,600,0.03311148378998041,303,601
215,16.887058305740357,1000,0.1,1000,0.039333666861057284,335,1000
216,22.994531774520873,1000,0.1,3000,0.03933084160089493,332,3001
217,26.058741950988768,1000,0.1,6000,0.03933558538556099,339,6001
218,32.153049564361574,1000,0.1,10000,0.039341221749782565,344,10000
219,80.4575222492218,1000,0.1,30000,0.03932601660490036,325,30001
220,16.12250189781189,1000,0.05,30,0.0015997753815099713,272,31
221,5.9066102504730225,1000,0.05,60,7.121991518488357e-06,215,61
222,5.433675384521484,1000,0.05,100,5.6512176911383e-07,186,100
223,6.9956989765167235,1000,0.05,300,1.9218923767994057e-07,164,301
224,7.296693944931031,1000,0.05,600,3.7157129611387065e-06,200,601
225,7.158463048934936,1000,0.05,1000,3.8189006366096125e-07,176,1000
226,7.356534433364868,1000,0.05,3000,0.039329732209444045,330,3001
227,7.5835280418396,1000,0.05,6000,0.03941260576248169,348,6001
228,14.1922616481781,1000,0.05,10000,0.03932061940431595,308,10000
229,36.6047486782074,1000,0.05,30000,0.03932321444153786,312,30001
230,14.929092502593994,1000,0.01,30,0.004910785315769317,291,31
231,6.365385389328003,1000,0.01,60,1.9042438907490578e-05,222,61
232,4.718387508392334,1000,0.01,100,3.393170504750742e-06,199,100
233,4.015665531158447,1000,0.01,300,2.2392144103378086e-07,167,301
234,5.7667840957641605,1000,0.01,600,5.6932338399207085e-09,104,601
235,11.915147924423218,1000,0.01,1000,3.216587807219895e-09,98,1000
236,49.75140714645386,1000,0.01,3000,1.994000214944336e-10,45,3001
237,116.4616765499115,1000,0.01,6000,2.5361138786261785e-09,95,6001
238,135.618865442276,1000,0.01,10000,2.387743536225173e-09,94,10000
239,227.85111112594603,1000,0.01,30000,2.3853069797130643e-10,57,30001
240,27.53200235366821,1000,0.005,30,0.00329475580201688,287,31
241,20.90033092498779,1000,0.005,60,6.482701155618997e-05,253,61
242,16.300026416778564,1000,0.005,100,1.911109478527351e-05,223,100
243,16.45142283439636,1000,0.005,300,1.6937960936047603e-07,159,301
244,11.523396348953247,1000,0.005,600,1.4781241741701478e-08,124,601
245,12.535889196395875,1000,0.005,1000,5.852469842082542e-09,105,1000
246,25.987730026245117,1000,0.005,3000,2.550460384553865e-10,59,3001
247,89.64815464019776,1000,0.005,6000,9.469833667230531e-11,20,6001
248,214.18784813880922,1000,0.005,10000,3.834998742180407e-11,4,10000
249,350.73866763114927,1000,0.005,30000,1.3195151138400974e-09,83,30001
250,47.71567120552063,1000,0.001,30,0.004772723470887285,290,31
251,48.843233299255374,1000,0.001,60,3.5413230716585534e-05,244,61
252,43.52903728485107,1000,0.001,100,1.9718924545486515e-05,224,100
253,9.725202989578246,1000,0.001,300,2.543726907333621e-07,169,301
254,12.080307388305664,1000,0.001,600,6.529772207386486e-08,146,601
255,21.430511379241942,1000,0.001,1000,1.4017818728007115e-08,123,1000
256,48.7307345867157,1000,0.001,3000,6.142736541647764e-10,74,3001
257,94.96952843666077,1000,0.001,6000,2.280615696292898e-10,55,6001
258,138.8149227142334,1000,0.001,10000,2.045636673941864e-10,48,10000
259,223.47152819633484,1000,0.001,30000,1.5844037401513412e-10,38,30001
260,81.90665364265442,1000,0.0005,30,0.001569441189076315,262,31
261,29.388845109939574,1000,0.0005,60,2.163597073376877e-05,229,61
262,16.93353328704834,1000,0.0005,100,4.0008627479437564e-05,248,100
263,14.21779260635376,1000,0.0005,300,7.593346140311042e-07,189,301
264,21.138493394851686,1000,0.0005,600,5.9135832586321156e-08,142,601
265,39.69429035186768,1000,0.0005,1000,3.007610054339693e-08,134,1000
266,70.98264861106873,1000,0.0005,3000,1.3801469855856397e-09,85,3001
267,163.88171310424804,1000,0.0005,6000,2.732099158020418e-10,64,6001
268,226.63017511367798,1000,0.0005,10000,1.6557543808248808e-10,40,10000
269,324.86098623275757,1000,0.0005,30000,1.5502312003534692e-10,36,30001
270,104.73801560401917,1000,0.0001,30,0.004768985422560945,289,31
271,54.23382430076599,1000,0.0001,60,0.0017108375845509727,276,61
272,40.30286331176758,1000,0.0001,100,0.0017116801174438478,277,100
273,40.72453556060791,1000,0.0001,300,1.7416033841755053e-07,160,301
274,52.70211744308472,1000,0.0001,600,3.6336632192046634e-08,137,601
275,90.99674925804138,1000,0.0001,1000,8.371083115576993e-09,112,1000
276,198.27976117134094,1000,0.0001,3000,8.712725485526818e-10,78,3001
277,406.9944278717041,1000,0.0001,6000,2.8750042901926064e-10,65,6001
278,578.9158555984498,1000,0.0001,10000,1.461795157142731e-10,33,10000
279,902.4329431533813,1000,0.0001,30000,8.138666893198198e-11,18,30001
280,39.43807725906372,1400,0.1,30,4.5586948886011666e-06,203,31
281,25.96120114326477,1400,0.1,60,7.58668561502418e-06,216,61
282,32.996194744110106,1400,0.1,100,6.137587979537784e-06,212,100
283,20.855449390411376,1400,0.1,300,0.009669516896428832,298,301
284,17.999883508682252,1400,0.1,600,0.033139667473733425,304,601
285,20.228326845169068,1400,0.1,1000,0.03933063372969627,331,1000
286,22.64985337257385,1400,0.1,3000,0.039365748316049574,346,3001
287,26.77422766685486,1400,0.1,6000,0.039381907880306245,347,6001
288,29.796548318862914,1400,0.1,10000,0.03935399800539017,345,10000
289,24.81885509490967,1400,0.1,30000,0.16474328339099883,350,30001
290,14.240533018112183,1400,0.05,30,0.0015755633060734909,263,31
291,12.940409708023072,1400,0.05,60,0.0015363732855689705,254,61
292,15.323437976837159,1400,0.05,100,8.040763333383438e-07,190,100
293,17.559459733963013,1400,0.05,300,1.8516939945811827e-07,162,301
294,13.874710893630981,1400,0.05,600,4.609665722909995e-07,182,601
295,18.604865884780885,1400,0.05,1000,3.714696006795748e-07,175,1000
296,12.642604112625122,1400,0.05,3000,0.03932366818189621,313,3001
297,16.565318250656127,1400,0.05,6000,0.03932039067149162,307,6001
298,21.17499485015869,1400,0.05,10000,0.03933734819293022,340,10000
299,19.495285081863404,1400,0.05,30000,0.08573773354291916,349,30001
300,9.626068592071533,1400,0.01,30,0.0015847539776586927,267,31
301,4.158883666992187,1400,0.01,60,0.0015899283069302327,270,61
302,5.0471086502075195,1400,0.01,100,5.001196822718157e-06,206,100
303,5.402957248687744,1400,0.01,300,1.217250300555861e-07,153,301
304,7.9296019077301025,1400,0.01,600,7.38675844935699e-09,110,601
305,13.703368902206421,1400,0.01,1000,1.109436942314801e-09,81,1000
306,64.49439415931701,1400,0.01,3000,1.4899516065369768e-10,35,3001
307,128.68699645996094,1400,0.01,6000,1.3263292963916484e-09,84,6001
308,156.68914151191711,1400,0.01,10000,3.6769964684157942e-09,100,10000
309,292.74862904548644,1400,0.01,30000,1.5628636718112431e-10,37,30001
310,29.49375762939453,1400,0.005,30,0.0032417149441243964,282,31
311,31.12858729362488,1400,0.005,60,2.3297046527659405e-05,234,61
312,32.56295337677002,1400,0.005,100,5.379226070090226e-06,208,100
313,19.326138019561768,1400,0.005,300,1.5583756578507747e-07,157,301
314,16.13307390213013,1400,0.005,600,3.350837758375747e-08,136,601
315,19.12667121887207,1400,0.005,1000,8.389583161516612e-09,113,1000
316,37.36611356735229,1400,0.005,3000,1.9337680623454646e-10,43,3001
317,99.4896457195282,1400,0.005,6000,1.023337820732495e-10,22,6001
318,244.55725293159486,1400,0.005,10000,3.332927718535661e-11,2,10000
319,457.64622631072996,1400,0.005,30000,1.8203717533360475e-09,89,30001
320,55.23714203834534,1400,0.001,30,0.001576057306738221,264,31
321,47.833931827545165,1400,0.001,60,2.4424930325039894e-05,235,61
322,41.60757517814636,1400,0.001,100,3.279562483839982e-05,240,100
323,26.551024198532104,1400,0.001,300,9.759300283462835e-07,194,301
324,28.416238355636597,1400,0.001,600,8.226041217085367e-08,151,601
325,32.93535852432251,1400,0.001,1000,1.9023251951466592e-08,127,1000
326,51.67286853790283,1400,0.001,3000,9.5271271982611e-10,80,3001
327,116.8314877986908,1400,0.001,6000,2.053966358106507e-10,49,6001
328,173.12360858917236,1400,0.001,10000,2.1171220054849728e-10,52,10000
329,249.7388572692871,1400,0.001,30000,1.123623499799109e-10,25,30001
330,37.908519411087035,1400,0.0005,30,0.006462879918035469,294,31
331,19.997371768951417,1400,0.0005,60,0.0015381638793769525,255,61
332,18.793162775039672,1400,0.0005,100,5.460866714201984e-06,209,100
333,13.991597986221313,1400,0.0005,300,4.1140317819099437e-07,179,301
334,32.91062507629395,1400,0.0005,600,8.026818605344488e-08,149,601
335,45.89451556205749,1400,0.0005,1000,3.89952191426346e-08,139,1000
336,94.16448059082032,1400,0.0005,3000,2.001799104256463e-09,91,3001
337,219.0530306816101,1400,0.0005,6000,3.867277609259645e-10,69,6001
