,fit_time,batch_size,learning_rate,n_weights,test_score,rank,actual_weights
0,1.692075777053833,5,0.1,10,0.33704918055445887,1073,10
1,1.517542552947998,5,0.1,30,0.003495441464474425,359,31
2,1.236292839050293,5,0.1,60,0.0021490968647412956,182,61
3,0.9586361885070801,5,0.1,100,0.0014670513570308684,80,100
4,1.1543136596679688,5,0.1,300,0.01898866132250987,715,301
5,1.0789149761199952,5,0.1,600,0.09075156935141422,912,601
6,1.205974292755127,5,0.1,1000,0.47052219957113267,1273,1000
7,1.1393524646759032,5,0.1,3000,0.46343436241149905,1235,3001
8,1.352384614944458,5,0.1,6000,0.4656293846666813,1238,6001
9,1.3974624156951905,5,0.1,10000,0.4680357836186886,1260,10000
10,1.6729264736175538,5,0.1,30000,0.46921757608652115,1270,30001
11,1.297330665588379,5,0.05,10,0.09468026799149812,919,10
12,1.3039132118225099,5,0.05,30,0.009359788562869653,597,31
13,1.3487938404083253,5,0.05,60,0.004844241018872708,478,61
14,1.4120227813720703,5,0.05,100,0.004297691571991891,438,100
15,1.3747241497039795,5,0.05,300,0.0016751752264099196,107,301
16,1.2225306987762452,5,0.05,600,0.0009711310662169126,28,601
17,1.2348981380462647,5,0.05,1000,0.0012100636042305269,51,1000
18,1.1453377246856689,5,0.05,3000,0.4804521776735783,1282,3001
19,1.1451381206512452,5,0.05,6000,0.4769760675728321,1278,6001
20,1.26880784034729,5,0.05,10000,0.46362919434905053,1236,10000
21,1.8061700820922852,5,0.05,30000,0.4663654662668705,1242,30001
22,1.559230422973633,5,0.01,10,0.34086030940525236,1079,10
23,1.4555085182189942,5,0.01,30,0.0176998799899593,699,31
24,1.6555732250213624,5,0.01,60,0.004360107422689908,443,61
25,1.6667428493499756,5,0.01,100,0.0032706381985917687,338,100
26,1.3781156063079834,5,0.01,300,0.0018525538267567753,135,301
27,1.3418109893798829,5,0.01,600,0.0021843505135620946,187,601
28,1.2267199993133544,5,0.01,1000,0.002788669551955536,281,1000
29,1.311093807220459,5,0.01,3000,0.0009289680368965491,26,3001
30,1.3669445037841796,5,0.01,6000,0.0011385084035282489,42,6001
31,1.2831685066223144,5,0.01,10000,0.0019104666391285719,143,10000
32,1.3940718650817872,5,0.01,30000,0.0010265321541737648,30,30001
33,1.731371021270752,5,0.005,10,0.1374952162615955,959,10
34,2.498717737197876,5,0.005,30,0.004545213794335723,458,31
35,1.8823666095733642,5,0.005,60,0.01513593402924016,670,61
36,1.8289093017578124,5,0.005,100,0.007790360180661082,571,100
37,1.4952020168304443,5,0.005,300,0.0026761813642224297,267,301
38,1.4958003044128418,5,0.005,600,0.0021055864170193674,174,601
39,1.3039125442504882,5,0.005,1000,0.002373581298161298,223,1000
40,1.536890935897827,5,0.005,3000,0.0012767277425155044,60,3001
41,1.4628870487213135,5,0.005,6000,0.0024059819319518284,230,6001
42,1.3655487060546876,5,0.005,10000,0.0009330911780125462,27,10000
43,1.438154363632202,5,0.005,30000,0.0008682355877681402,21,30001
44,4.018852996826172,5,0.001,10,0.02281788284308277,749,10
45,5.626753187179565,5,0.001,30,0.008821539345080964,588,31
46,5.4594017505645756,5,0.001,60,0.01011372945504263,610,61
47,5.274096727371216,5,0.001,100,0.004260667029302567,434,100
48,3.462541341781616,5,0.001,300,0.0035720277170185,367,301
49,2.804101514816284,5,0.001,600,0.002824626525398344,290,601
50,2.505100727081299,5,0.001,1000,0.0026979069923982026,272,1000
51,2.4731868267059327,5,0.001,3000,0.002906520810211077,298,3001
52,2.092803621292114,5,0.001,6000,0.004055902396794408,415,6001
53,2.064479112625122,5,0.001,10000,0.0026327279221732168,263,10000
54,2.1747843265533446,5,0.001,30000,0.0021851760509889575,188,30001
55,8.170350742340087,5,0.0005,10,0.03097555220592767,776,10
56,11.764140224456787,5,0.0005,30,0.06927139078034088,864,31
57,8.878657484054566,5,0.0005,60,0.020310251670889557,727,61
58,7.5865123748779295,5,0.0005,100,0.0063776738592423495,534,100
59,5.87449083328247,5,0.0005,300,0.004118801723234355,423,301
60,4.5546205043792725,5,0.0005,600,0.004356308619026095,442,601
61,4.337999725341797,5,0.0005,1000,0.003836761717684567,406,1000
62,3.9009681224822996,5,0.0005,3000,0.0031363038811832666,325,3001
63,2.9700573921203612,5,0.0005,6000,0.002135161677142605,176,6001
64,2.3826290130615235,5,0.0005,10000,0.004757027805317194,470,10000
65,2.3812323570251466,5,0.0005,30000,0.001958671421743929,149,30001
66,35.79148635864258,5,0.0001,10,0.03809855319559574,800,10
67,30.681551122665404,5,0.0001,30,0.02650804508884903,765,31
68,29.60842094421387,5,0.0001,60,0.019503453408833592,722,61
69,28.00111985206604,5,0.0001,100,0.004410458449274302,449,100
70,16.930923557281496,5,0.0001,300,0.007100716966670006,557,301
71,14.916909551620483,5,0.0001,600,0.0038307920913212,404,601
72,14.626087188720703,5,0.0001,1000,0.0031686400179751217,326,1000
73,11.177509450912476,5,0.0001,3000,0.0028884598053991795,297,3001
74,7.698612403869629,5,0.0001,6000,0.002932491048704833,300,6001
75,7.4895710945129395,5,0.0001,10000,0.003097573859849945,322,10000
76,5.990181827545166,5,0.0001,30000,0.002569367235992104,252,30001
77,2.484555721282959,5,0.1,10,0.4546603358234279,1220,10
78,1.9996529579162599,5,0.1,30,0.38229182435316034,1130,31
79,2.05450553894043,5,0.1,60,0.06139166234061122,846,61
80,2.015012264251709,5,0.1,100,0.38213139009894803,1129,100
81,2.128109884262085,5,0.1,300,0.002679818805336254,269,301
82,1.9300396919250489,5,0.1,600,0.021617511473596095,737,601
83,1.8139497280120849,5,0.1,1000,0.0020491845134529285,164,1000
