,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
0,1.3783143520355225,4,1,0.1,10,0.07558827314060182,790,10
1,1.193610143661499,4,1,0.1,30,0.002659313438925892,622,31
2,0.9803775310516357,4,1,0.1,60,0.0026296634518075735,619,61
3,0.9588362693786621,4,1,0.1,100,0.002353837777627632,604,100
4,1.0475980281829833,4,1,0.1,300,0.002364185577607714,605,301
5,0.954048490524292,4,1,0.1,600,0.1718263109331019,942,601
6,0.9743940830230713,4,1,0.1,1000,0.3221635311841965,1064,1000
7,0.9712027072906494,4,1,0.1,3000,0.3234419047832489,1092,3001
8,1.1150187015533448,4,1,0.1,6000,0.3245584279298782,1097,6001
9,1.19839506149292,4,1,0.1,10000,0.3234083503484726,1091,10000
10,1.402649211883545,4,1,0.1,30000,0.32315863370895387,1088,30001
11,1.1311756134033204,4,1,0.05,10,0.004914909694343805,687,10
12,1.0059097290039063,4,1,0.05,30,0.0053923488827422265,688,31
13,1.0116955280303954,4,1,0.05,60,0.0029636523104272783,640,61
14,1.0108971118927002,4,1,0.05,100,0.0015301394159905612,519,100
15,1.0316410541534424,4,1,0.05,300,0.0007929786341264844,127,301
16,1.0200723648071288,4,1,0.05,600,0.001764149672817439,551,601
17,1.1926109790802002,4,1,0.05,1000,0.0017743246600730345,553,1000
18,1.1503259658813476,4,1,0.05,3000,0.19778492404147982,965,3001
19,1.2654165267944335,4,1,0.05,6000,0.324306333065033,1096,6001
20,1.1906158924102783,4,1,0.05,10000,0.3251209020614624,1099,10000
21,1.487422227859497,4,1,0.05,30000,0.3221325635910034,1063,30001
22,1.3838990688323975,4,1,0.01,10,0.046018725633621214,753,10
23,1.4441386699676513,4,1,0.01,30,0.0035002639051526785,655,31
24,1.4698690891265869,4,1,0.01,60,0.0011563807202037424,412,61
25,1.444736385345459,4,1,0.01,100,0.0014082105859415605,486,100
26,1.1620929718017579,4,1,0.01,300,0.0013412480417173355,475,301
27,1.3595643997192384,4,1,0.01,600,0.0009751180274179206,282,601
28,1.2506554126739502,4,1,0.01,1000,0.0009764451504452154,284,1000
29,1.1002581119537354,4,1,0.01,3000,0.000957397575257346,267,3001
30,1.1489272117614746,4,1,0.01,6000,0.0012298496018047444,437,6001
31,1.109234094619751,4,1,0.01,10000,0.0024105101474560797,610,10000
32,1.2877568244934081,4,1,0.01,30000,0.0015344961953815072,520,30001
33,1.5137527465820313,4,1,0.005,10,0.1794483197387308,951,10
34,1.618072509765625,4,1,0.005,30,0.004381346818991006,677,31
35,1.822127389907837,4,1,0.005,60,0.001755512645468116,546,61
36,1.8143479824066162,4,1,0.005,100,0.0011449469253420829,403,100
37,1.3886871337890625,4,1,0.005,300,0.0017569436982739716,547,301
38,1.1343668937683105,4,1,0.005,600,0.0011190775025170297,385,601
39,1.152120018005371,4,1,0.005,1000,0.000996177183697,301,1000
40,1.084300947189331,4,1,0.005,3000,0.0009932340879458934,298,3001
41,1.1337678909301758,4,1,0.005,6000,0.0012073997000698,433,6001
42,1.162691068649292,4,1,0.005,10000,0.0013381621727603487,472,10000
43,1.3326361179351807,4,1,0.005,30000,0.0011620063800364734,418,30001
44,3.5632707118988036,4,1,0.001,10,0.09311371925286949,836,10
45,3.7559559822082518,4,1,0.001,30,0.00359590956941247,658,31
46,5.675821542739868,4,1,0.001,60,0.0023987169843167067,609,61
47,5.17216854095459,4,1,0.001,100,0.0018298681708984077,561,100
48,3.7731103897094727,4,1,0.001,300,0.0013530652853660286,479,301
49,2.7751791000366213,4,1,0.001,600,0.0013300354708917438,468,601
50,2.3983866691589357,4,1,0.001,1000,0.0010252409207168966,324,1000
51,2.0217938899993895,4,1,0.001,3000,0.001252823485992849,446,3001
52,1.8612235069274903,4,1,0.001,6000,0.0007898304582340642,122,6001
53,1.8670077323913574,4,1,0.001,10000,0.0007756367005640641,114,10000
54,1.7136180400848389,4,1,0.001,30000,0.0007658754067961127,102,30001
55,5.874290418624878,4,1,0.0005,10,0.09312001671642064,837,10
56,10.520465660095216,4,1,0.0005,30,0.0012965848902240396,459,31
57,6.799816417694092,4,1,0.0005,60,0.001448476838413626,504,61
58,6.69250340461731,4,1,0.0005,100,0.0019580940599553285,574,100
59,5.239787769317627,4,1,0.0005,300,0.0010377274127677083,334,301
60,4.364728593826294,4,1,0.0005,600,0.0011009776557330043,373,601
61,3.888800621032715,4,1,0.0005,1000,0.0014352408063132316,497,1000
62,2.998182439804077,4,1,0.0005,3000,0.0010191479581408204,319,3001
63,2.273120975494385,4,1,0.0005,6000,0.00107248583517503,353,6001
64,2.2503822803497315,4,1,0.0005,10000,0.0011412837309762835,402,10000
65,2.0156100273132322,4,1,0.0005,30000,0.001259811915224418,448,30001
66,39.928223609924316,4,1,0.0001,10,0.002218462445307523,594,10
67,28.427977895736696,4,1,0.0001,30,0.002454645757097751,613,31
68,21.108551931381225,4,1,0.0001,60,0.002833524567540735,632,61
69,20.710815715789796,4,1,0.0001,100,0.002281094482168555,600,100
70,13.173372077941895,4,1,0.0001,300,0.0018037496018223464,558,301
71,11.546522903442384,4,1,0.0001,600,0.0013644445512909441,481,601
