Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time,"Avg IV"
"1,360.00",+53.86%,"1,584.50","1,592.25","1,600.00",0.00,0.00,unch,0,0,0.00,64.11%,Call,N/A,37.10%
"1,380.00",+53.18%,"1,565.00","1,572.75","1,580.50","1,555.00",0.00,unch,0,2,0.00,63.93%,Call,03/14/22,37.10%
"1,400.00",+52.50%,"1,546.50","1,554.00","1,561.50","1,660.00",0.00,unch,0,10,0.00,64.90%,Call,03/02/22,37.10%
"1,420.00",+51.82%,"1,526.85","1,534.43","1,542.00",0.00,0.00,unch,0,0,0.00,64.42%,Call,N/A,37.10%
"1,440.00",+51.14%,"1,507.20","1,514.35","1,521.50",0.00,0.00,unch,0,0,0.00,63.20%,Call,N/A,37.10%
"1,450.00",+50.80%,"1,497.40","1,504.70","1,512.00","1,777.80",0.00,unch,0,1,0.00,63.15%,Call,02/07/22,37.10%
"1,460.00",+50.46%,"1,487.60","1,495.05","1,502.50","1,480.72","1,480.72",unch,4,0,0.00,63.08%,Call,03/15/22,37.10%
"1,480.00",+49.79%,"1,468.00","1,475.25","1,482.50",0.00,0.00,unch,0,0,0.00,62.25%,Call,N/A,37.10%
"1,500.00",+49.11%,"1,448.70","1,455.85","1,463.00","1,702.78",0.00,unch,0,1,0.00,61.93%,Call,02/07/22,37.10%
"1,520.00",+48.43%,"1,429.00","1,436.00","1,443.00",0.00,0.00,unch,0,0,0.00,61.03%,Call,N/A,37.10%
"1,540.00",+47.75%,"1,409.60","1,418.05","1,426.50",0.00,0.00,unch,0,0,0.00,62.25%,Call,N/A,37.10%
"1,550.00",+47.41%,"1,399.60","1,406.80","1,414.00",0.00,0.00,unch,0,1,0.00,60.35%,Call,N/A,37.10%
"1,560.00",+47.07%,"1,389.85","1,397.18","1,404.50","1,643.78",0.00,unch,0,1,0.00,60.23%,Call,02/07/22,37.10%
"1,580.00",+46.39%,"1,370.35","1,378.93","1,387.50","1,661.22",0.00,unch,0,0,0.00,60.95%,Call,02/07/22,37.10%
"1,600.00",+45.71%,"1,351.00","1,358.00","1,365.00","1,503.50",0.00,unch,0,1,0.00,58.96%,Call,02/17/22,37.10%
"1,620.00",+45.03%,"1,331.50","1,340.50","1,349.50",0.00,0.00,unch,0,0,0.00,60.25%,Call,N/A,37.10%
"1,640.00",+44.36%,"1,312.10","1,320.05","1,328.00",0.00,0.00,unch,0,0,0.00,58.78%,Call,N/A,37.10%
"1,650.00",+44.02%,"1,302.45","1,309.48","1,316.50",0.00,0.00,unch,0,1,0.00,57.74%,Call,N/A,37.10%
"1,660.00",+43.68%,"1,292.75","1,300.38","1,308.00","1,585.50",0.00,unch,0,1,0.00,58.00%,Call,02/08/22,37.10%
"1,680.00",+43.00%,"1,273.45","1,281.73","1,290.00",0.00,0.00,unch,0,0,0.00,58.07%,Call,N/A,37.10%
"1,700.00",+42.32%,"1,254.15","1,261.33","1,268.50",0.00,0.00,unch,0,0,0.00,56.70%,Call,N/A,37.10%
"1,720.00",+41.64%,"1,235.00","1,242.50","1,250.00",0.00,0.00,unch,0,0,0.00,56.57%,Call,N/A,37.10%
