Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","30D His Vol"
AMZN|20240119|1360.00C,AMZN,"1,360.00",+53.86%,"1,675.50","1,684.50","1,693.50","1,672.00",0.00,unch,0,2,0.00,52.48%,Call,675,01/19/24,03/11/22,31.94%,57.90%
AMZN|20240119|1380.00C,AMZN,"1,380.00",+53.18%,"1,656.50","1,665.50","1,674.50",0.00,0.00,unch,0,1,0.00,51.84%,Call,675,01/19/24,N/A,31.94%,57.90%
AMZN|20240119|1390.00C,AMZN,"1,390.00",+52.84%,"1,649.50","1,657.25","1,665.00","1,596.46",0.00,unch,0,54,0.00,51.73%,Call,675,01/19/24,03/04/22,31.94%,57.90%
AMZN|20240119|1400.00C,AMZN,"1,400.00",+52.50%,"1,640.50","1,648.50","1,656.50","1,570.81",0.00,unch,0,30,0.00,51.54%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1420.00C,AMZN,"1,420.00",+51.82%,"1,623.00","1,631.00","1,639.00","1,778.00",0.00,unch,0,17,0.00,51.16%,Call,675,01/19/24,02/15/22,31.94%,57.90%
AMZN|20240119|1440.00C,AMZN,"1,440.00",+51.14%,"1,606.50","1,615.50","1,624.50","1,761.75",0.00,unch,0,11,0.00,51.09%,Call,675,01/19/24,02/17/22,31.94%,57.90%
AMZN|20240119|1450.00C,AMZN,"1,450.00",+50.80%,"1,597.00","1,605.75","1,614.50","1,567.50",0.00,unch,0,11,0.00,50.74%,Call,675,01/19/24,03/04/22,31.94%,57.90%
AMZN|20240119|1460.00C,AMZN,"1,460.00",+50.46%,"1,588.00","1,596.00","1,604.00","1,743.78",0.00,unch,0,8,0.00,50.38%,Call,675,01/19/24,02/17/22,31.94%,57.90%
AMZN|20240119|1480.00C,AMZN,"1,480.00",+49.79%,"1,571.50","1,580.50","1,589.50","1,685.45",0.00,unch,0,3,0.00,50.30%,Call,675,01/19/24,02/28/22,31.94%,57.90%
AMZN|20240119|1500.00C,AMZN,"1,500.00",+49.11%,"1,554.50","1,563.50","1,572.50","1,471.00",7.70,+0.53%,1,12,0.08,49.98%,Call,675,01/19/24,03/15/22,31.94%,57.90%
AMZN|20240119|1520.00C,AMZN,"1,520.00",+48.43%,"1,536.50","1,544.50","1,552.50","1,506.91",0.00,unch,0,12,0.00,49.35%,Call,675,01/19/24,03/10/22,31.94%,57.90%
AMZN|20240119|1540.00C,AMZN,"1,540.00",+47.75%,"1,519.50","1,527.50","1,535.50","1,429.24",0.00,unch,0,7,0.00,49.03%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1550.00C,AMZN,"1,550.00",+47.41%,"1,511.00","1,519.00","1,527.00","1,425.54",0.00,unch,0,12,0.00,48.87%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1560.00C,AMZN,"1,560.00",+47.07%,"1,502.50","1,510.25","1,518.00","1,413.62",0.00,unch,0,15,0.00,48.67%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1580.00C,AMZN,"1,580.00",+46.39%,"1,485.50","1,493.50","1,501.50","1,396.43",0.00,unch,0,14,0.00,48.37%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1600.00C,AMZN,"1,600.00",+45.71%,"1,469.50","1,478.25","1,487.00","1,379.80",0.00,unch,0,36,0.00,48.28%,Call,675,01/19/24,03/14/22,31.94%,57.90%
AMZN|20240119|1620.00C,AMZN,"1,620.00",+45.03%,"1,452.00","1,461.00","1,470.00","1,444.30",0.00,unch,0,7,0.00,47.90%,Call,675,01/19/24,02/23/22,31.94%,57.90%
AMZN|20240119|1640.00C,AMZN,"1,640.00",+44.36%,"1,435.50","1,443.50","1,451.50","1,641.29",0.00,unch,0,14,0.00,47.49%,Call,675,01/19/24,02/16/22,31.94%,57.90%
AMZN|20240119|1660.00C,AMZN,"1,660.00",+43.68%,"1,419.00","1,426.75","1,434.50","1,402.76",-66.54,-4.53%,5,13,0.38,47.18%,Call,675,01/19/24,03/15/22,31.94%,57.90%
AMZN|20240119|1680.00C,AMZN,"1,680.00",+43.00%,"1,402.50","1,410.50","1,418.50","1,602.28",0.00,unch,0,16,0.00,46.92%,Call,675,01/19/24,02/17/22,31.94%,57.90%
AMZN|20240119|1700.00C,AMZN,"1,700.00",+42.32%,"1,386.00","1,393.50","1,401.00","1,260.70",0.00,unch,0,30,0.00,46.57%,Call,675,01/19/24,03/07/22,31.94%,57.90%
AMZN|20240119|1720.00C,AMZN,"1,720.00",+41.64%,"1,369.50","1,377.25","1,385.00","1,608.82",0.00,unch,0,33,0.00,46.31%,Call,675,01/19/24,02/07/22,31.94%,57.90%
AMZN|20240119|1740.00C,AMZN,"1,740.00",+40.96%,"1,353.50","1,361.50","1,369.50","1,517.50",0.00,unch,0,54,0.00,46.10%,Call,675,01/19/24,02/17/22,31.94%,57.90%
AMZN|20240119|1760.00C,AMZN,"1,760.00",+40.28%,"1,337.00","1,345.00","1,353.00","1,544.12",0.00,unch,0,21,0.00,45.80%,Call,675,01/19/24,02/16/22,31.94%,57.90%
AMZN|20240119|1780.00C,AMZN,"1,780.00",+39.61%,"1,321.00","1,328.75","1,336.50","1,522.34",0.00,unch,0,27,0.00,45.52%,Call,675,01/19/24,02/16/22,31.94%,57.90%
AMZN|20240119|1800.00C,AMZN,"1,800.00",+38.93%,"1,306.00","1,315.00","1,324.00","1,281.60",0.00,unch,0,54,0.00,45.52%,Call,675,01/19/24,03/10/22,31.94%,57.90%
AMZN|20240119|1820.00C,AMZN,"1,820.00",+38.25%,"1,289.50","1,297.25","1,305.00","1,291.65",0.00,unch,0,29,0.00,45.06%,Call,675,01/19/24,02/24/22,31.94%,57.90%
