Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
10,4.941e-02,1,0.1,8,10,1.5653142929077148,14
10,7.781e-02,1,0.01,8,10,1.584761381149292,26
10,6.637e-01,1,0.001,8,10,1.2536466121673584,178
10,1.082e+00,1,0.0001,8,10,1.7490726709365845,184
10,1.132e-01,2,0.1,8,10,2.140525162220001,39
10,1.035e-01,2,0.01,8,10,7.336627244949341,34
10,1.801e-01,2,0.001,8,10,4.893162846565247,73
10,1.219e+00,2,0.0001,8,10,7.048648238182068,185
10,2.705e-01,3,0.1,8,10,2.7526376843452454,144
10,2.705e-01,3,0.01,8,10,1.7104250192642212,144
10,2.705e-01,3,0.001,8,10,1.5942363739013672,144
10,2.705e-01,3,0.0001,8,10,3.5440199971199036,144
10,4.380e-02,1,0.1,8,25,1.8340940475463867,12
10,3.021e-02,1,0.01,8,25,1.8231238722801208,5
10,1.706e-01,1,0.001,8,25,1.6702829003334045,71
10,1.457e-01,1,0.0001,8,25,2.6661189198493958,57
10,4.975e-02,2,0.1,8,25,1.693222165107727,15
10,3.290e-02,2,0.01,8,25,1.5628195405006409,6
10,1.986e-01,2,0.001,8,25,1.7740060091018677,79
10,2.605e-01,2,0.0001,8,25,1.4967467188835144,92
10,2.705e-01,3,0.1,8,25,1.5974773168563843,144
10,2.705e-01,3,0.01,8,25,1.6224102973937988,144
10,2.705e-01,3,0.001,8,25,1.5745394229888916,144
10,2.705e-01,3,0.0001,8,25,1.5593292713165283,144
10,8.796e-02,1,0.1,8,50,1.4673256874084473,29
10,4.136e-02,1,0.01,8,50,1.6096948981285095,10
10,2.214e-01,1,0.001,8,50,1.676765263080597,83
10,3.442e-01,1,0.0001,8,50,3.1578043699264526,164
10,1.503e-01,2,0.1,8,50,2.281398594379425,62
10,1.159e-01,2,0.01,8,50,2.974793553352356,41
10,6.572e-02,2,0.001,8,50,2.1537389755249023,21
10,2.488e-01,2,0.0001,8,50,2.042038679122925,90
10,2.705e-01,3,0.1,8,50,2.2085943818092346,144
10,2.705e-01,3,0.01,8,50,2.194879651069641,144
10,2.705e-01,3,0.001,8,50,1.8680045008659363,144
10,2.705e-01,3,0.0001,8,50,2.0203468203544617,144
10,4.934e-02,1,0.1,8,100,2.2878803610801697,13
10,3.674e-02,1,0.01,8,100,4.51567280292511,8
10,1.238e-01,1,0.001,8,100,2.451942205429077,49
10,3.606e-01,1,0.0001,8,100,2.7010267972946167,167
10,1.224e-01,2,0.1,8,100,2.994490921497345,45
10,1.508e-01,2,0.01,8,100,3.614831268787384,64
10,1.504e-01,2,0.001,8,100,3.2129080295562744,63
10,1.685e-01,2,0.0001,8,100,2.797269105911255,70
10,2.705e-01,3,0.1,8,100,2.921436369419098,144
10,2.705e-01,3,0.01,8,100,2.8872785568237305,144
10,2.705e-01,3,0.001,8,100,2.8765564560890198,144
10,2.705e-01,3,0.0001,8,100,3.138355791568756,144
10,3.569e-03,1,0.1,16,10,1.7597932815551758,1
10,1.364e-01,1,0.01,16,10,1.3920267224311829,56
10,3.426e-01,1,0.001,16,10,1.2474135756492615,163
10,1.773e+00,1,0.0001,16,10,1.686489224433899,190
10,1.116e-01,2,0.1,16,10,2.6249793767929077,37
10,1.488e-01,2,0.01,16,10,2.079687476158142,60
10,2.450e-01,2,0.001,16,10,1.7425906658172607,88
10,6.633e-01,2,0.0001,16,10,1.4351616501808167,177
10,2.705e-01,3,0.1,16,10,1.7039422988891602,96
10,2.705e-01,3,0.01,16,10,1.5770329236984253,96
10,2.705e-01,3,0.001,16,10,2.886779248714447,96
10,2.705e-01,3,0.0001,16,10,1.6076999306678772,96
10,3.611e-02,1,0.1,16,25,1.60969477891922,7
10,6.615e-02,1,0.01,16,25,2.5711230039596558,22
10,2.260e+00,1,0.001,16,25,1.4673258662223816,192
10,4.540e-01,1,0.0001,16,25,1.4566041827201843,174
10,1.483e-01,2,0.1,16,25,1.6154296398162842,59
10,1.241e-01,2,0.01,16,25,1.4955008625984192,51
10,4.502e-01,2,0.001,16,25,1.523924171924591,172
10,2.762e-01,2,0.0001,16,25,1.4730606079101562,160
10,2.705e-01,3,0.1,16,25,1.697959065437317,96
10,2.705e-01,3,0.01,16,25,1.6149306893348694,96
10,2.705e-01,3,0.001,16,25,1.6665428280830383,96
10,2.705e-01,3,0.0001,16,25,1.7797402739524841,96
10,7.616e-02,1,0.1,16,50,1.536641538143158,25
10,8.657e-02,1,0.01,16,50,2.9191924333572388,28
10,1.088e-01,1,0.001,16,50,1.6580684781074524,36
10,3.738e-01,1,0.0001,16,50,2.544942855834961,168
10,1.232e-01,2,0.1,16,50,2.924179255962372,46
10,1.118e-01,2,0.01,16,50,1.7503188848495483,38
10,3.807e-01,2,0.001,16,50,1.8994197249412537,169
10,4.231e-01,2,0.0001,16,50,1.8034263253211975,171
10,2.705e-01,3,0.1,16,50,1.9455464482307434,96
10,2.705e-01,3,0.01,16,50,1.9500340819358826,96
10,2.705e-01,3,0.001,16,50,1.8784760236740112,96
10,2.705e-01,3,0.0001,16,50,3.4582508206367493,96
10,5.164e-02,1,0.1,16,100,2.011370062828064,17
10,1.240e-01,1,0.01,16,100,5.042762815952301,50
10,6.436e-02,1,0.001,16,100,2.19936740398407,20
10,2.096e-01,1,0.0001,16,100,2.200115382671356,82
10,1.046e-01,2,0.1,16,100,2.334257483482361,35
10,1.513e-01,2,0.01,16,100,2.3242835998535156,66
10,1.157e-01,2,0.001,16,100,2.266936957836151,40
10,2.453e-01,2,0.0001,16,100,2.2918701767921448,89
10,2.705e-01,3,0.1,16,100,2.551677167415619,96
10,2.705e-01,3,0.01,16,100,2.4008299112319946,96
10,2.705e-01,3,0.001,16,100,2.413794457912445,96
10,2.705e-01,3,0.0001,16,100,2.452191114425659,96
10,1.446e-02,1,0.1,32,10,3.3076531291007996,3
10,3.453e-01,1,0.01,32,10,1.6937205791473389,165
10,1.306e-01,1,0.001,32,10,2.505049765110016,53
10,3.602e-01,1,0.0001,32,10,1.8724921345710754,166
10,1.640e-01,2,0.1,32,10,1.9969086647033691,67
10,1.870e-01,2,0.01,32,10,1.5929901003837585,76
10,2.570e-01,2,0.001,32,10,1.5009854435920715,91
10,3.138e-01,2,0.0001,32,10,1.4670761227607727,161
10,2.705e-01,3,0.1,32,10,1.5832651257514954,96
10,2.705e-01,3,0.01,32,10,1.703194260597229,96
10,2.705e-01,3,0.001,32,10,1.7717610001564026,96
10,2.705e-01,3,0.0001,32,10,2.784801423549652,96
10,4.212e-02,1,0.1,32,25,1.5343942642211914,11
10,6.676e-02,1,0.01,32,25,1.6418601870536804,23
10,2.354e-01,1,0.001,32,25,1.4184570908546448,87
10,1.791e+00,1,0.0001,32,25,1.356123149394989,191
10,1.223e-01,2,0.1,32,25,1.3693376779556274,44
10,1.260e-01,2,0.01,32,25,1.4256872534751892,52
10,1.962e-01,2,0.001,32,25,1.4398991465568542,78
10,1.678e+00,2,0.0001,32,25,1.562570869922638,189
10,2.705e-01,3,0.1,32,25,1.8552884459495544,96
10,2.705e-01,3,0.01,32,25,1.7478256821632385,96
10,2.705e-01,3,0.001,32,25,1.878476083278656,96
10,2.705e-01,3,0.0001,32,25,1.5396313667297363,96
10,2.767e-02,1,0.1,32,50,1.4284291863441467,4
10,5.202e-02,1,0.01,32,50,1.9340764284133911,19
