Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,1.209e-03,1,0.01,8,25,1.6817517280578613
30,1.804e-04,1,0.1,16,100,2.1921370029449463
60,2.610e-05,1,0.1,64,100,2.0801860094070435
100,3.569e-05,1,0.1,8,25,2.126561999320984
300,1.705e-05,3,0.01,8,100,4.149153232574463
600,9.472e-06,3,0.01,32,100,2.9309115409851074
1000,3.549e-06,1,0.01,8,150,4.968212246894836
3000,1.115e-06,1,0.01,32,100,1.9472914338111877
6000,9.866e-07,1,0.01,32,150,2.909717619419098
10000,2.160e-07,1,0.01,64,175,3.394421935081482
30000,4.415e-07,3,0.001,32,300,4.916850388050079
