Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
10,8.207e-03,1,0.1,128,10,1.54486882686615,14
10,2.582e-02,1,0.01,128,10,1.5528481602668762,64
10,5.285e-02,1,0.001,128,10,1.1681268215179443,171
10,8.308e-02,1,0.0001,128,10,1.319468915462494,179
10,3.221e-02,2,0.1,128,10,1.5057235360145569,92
10,3.198e-02,2,0.01,128,10,1.6924745440483093,84
10,1.929e-02,2,0.001,128,10,1.7799904942512512,47
10,5.616e-02,2,0.0001,128,10,1.6817532181739807,173
10,3.635e-02,3,0.1,128,10,1.9325814843177795,115
10,3.635e-02,3,0.01,128,10,1.9136321544647217,115
10,3.635e-02,3,0.001,128,10,1.6852441430091858,115
10,3.635e-02,3,0.0001,128,10,1.8542919158935547,115
10,1.624e-02,1,0.1,128,25,2.3050856590270996,34
10,2.011e-02,1,0.01,128,25,2.329520523548126,50
10,2.541e-02,1,0.001,128,25,2.583841025829315,63
10,1.442e-02,1,0.0001,128,25,2.592318117618561,25
10,2.421e-02,2,0.1,128,25,3.085000455379486,57
10,1.513e-02,2,0.01,128,25,2.9568434953689575,27
10,3.193e-02,2,0.001,128,25,2.622237503528595,75
10,3.194e-02,2,0.0001,128,25,2.5140272974967957,81
10,3.635e-02,3,0.1,128,25,2.75538170337677,115
10,3.635e-02,3,0.01,128,25,2.8059967160224915,115
10,3.635e-02,3,0.001,128,25,2.959336042404175,115
10,3.635e-02,3,0.0001,128,25,3.0994619727134705,115
10,1.518e-02,1,0.1,128,50,3.6504881381988525,28
10,5.303e-03,1,0.01,128,50,3.9928234815597534,6
10,1.471e-02,1,0.001,128,50,3.89408677816391,26
10,1.588e-02,1,0.0001,128,50,3.8544429540634155,32
10,3.349e-02,2,0.1,128,50,3.9723775386810303,95
10,1.707e-02,2,0.01,128,50,4.17134565114975,39
10,3.192e-02,2,0.001,128,50,4.332165539264679,73
10,1.962e-02,2,0.0001,128,50,4.594214916229248,49
10,3.635e-02,3,0.1,128,50,4.411952376365662,115
10,3.635e-02,3,0.01,128,50,4.681232154369354,115
10,3.635e-02,3,0.001,128,50,4.365825653076172,115
10,3.635e-02,3,0.0001,128,50,4.3825308084487915,115
10,2.423e-02,1,0.1,128,100,6.896807134151459,58
10,8.111e-03,1,0.01,128,100,7.093032598495483,11
10,1.830e-02,1,0.001,128,100,7.187779426574707,44
10,1.423e-02,1,0.0001,128,100,7.546570181846619,24
10,2.396e-02,2,0.1,128,100,7.537594020366669,56
10,8.108e-03,2,0.01,128,100,8.198326706886292,10
10,3.192e-02,2,0.001,128,100,8.15793526172638,72
10,1.743e-02,2,0.0001,128,100,8.12951123714447,40
10,3.635e-02,3,0.1,128,100,9.005667746067047,115
10,3.635e-02,3,0.01,128,100,9.55794221162796,115
10,3.635e-02,3,0.001,128,100,8.900699079036713,115
10,3.635e-02,3,0.0001,128,100,8.178131520748138,115
10,8.130e-03,1,0.1,256,10,1.8889486193656921,12
10,2.650e-03,1,0.01,256,10,1.5680569410324097,3
10,6.646e-02,1,0.001,256,10,1.4244407415390015,177
10,2.848e-01,1,0.0001,256,10,1.376818060874939,191
10,2.425e-02,2,0.1,256,10,1.2932919263839722,59
10,2.313e-02,2,0.01,256,10,1.3581182956695557,55
10,2.718e-02,2,0.001,256,10,1.2788302302360535,67
10,4.721e-01,2,0.0001,256,10,1.391029953956604,192
10,3.635e-02,3,0.1,256,10,1.5306575298309326,115
10,3.635e-02,3,0.01,256,10,1.5072195529937744,115
10,3.635e-02,3,0.001,256,10,1.5097129344940186,115
10,3.635e-02,3,0.0001,256,10,1.6605597138404846,115
10,1.706e-02,1,0.1,256,25,1.7627859115600586,38
10,1.778e-02,1,0.01,256,25,1.833845853805542,41
10,3.815e-02,1,0.001,256,25,1.6800071597099304,163
10,2.267e-02,1,0.0001,256,25,1.8999198079109192,53
10,7.471e-03,2,0.1,256,25,2.1263142824172974,8
10,2.468e-02,2,0.01,256,25,2.105370819568634,61
10,3.527e-02,2,0.001,256,25,2.0829301476478577,98
10,1.445e-01,2,0.0001,256,25,2.247989058494568,187
10,3.635e-02,3,0.1,256,25,2.2564661502838135,115
10,3.635e-02,3,0.01,256,25,2.187150716781616,115
10,3.635e-02,3,0.001,256,25,2.027079999446869,115
10,3.635e-02,3,0.0001,256,25,2.089911699295044,115
10,6.956e-05,1,0.1,256,50,2.451195180416107,1
10,1.236e-02,1,0.01,256,50,2.588328540325165,21
10,4.318e-03,1,0.001,256,50,2.5963069796562195,5
10,1.281e-01,1,0.0001,256,50,2.7765755653381348,183
10,3.221e-02,2,0.1,256,50,2.9017403721809387,93
10,3.196e-02,2,0.01,256,50,2.9979835152626038,82
10,3.193e-02,2,0.001,256,50,2.957092523574829,77
10,3.194e-02,2,0.0001,256,50,3.5220816135406494,78
10,3.635e-02,3,0.1,256,50,3.3889381289482117,115
10,3.635e-02,3,0.01,256,50,3.1393551230430603,115
10,3.635e-02,3,0.001,256,50,3.4081358313560486,115
10,3.635e-02,3,0.0001,256,50,3.6118417382240295,115
10,7.347e-03,1,0.1,256,100,4.363083064556122,7
10,7.854e-03,1,0.01,256,100,4.92906928062439,9
10,1.234e-02,1,0.001,256,100,4.206251680850983,20
10,1.230e-01,1,0.0001,256,100,4.343385100364685,182
10,3.192e-02,2,0.1,256,100,4.783957302570343,71
10,1.663e-02,2,0.01,256,100,5.7202038168907166,37
10,2.472e-02,2,0.001,256,100,5.789019346237183,62
10,3.193e-02,2,0.0001,256,100,6.155041038990021,74
10,3.635e-02,3,0.1,256,100,6.489147901535034,115
10,3.635e-02,3,0.01,256,100,5.868308246135712,115
10,3.635e-02,3,0.001,256,100,5.296835958957672,115
10,3.635e-02,3,0.0001,256,100,5.512509286403656,115
10,1.076e-02,1,0.1,512,10,1.9819505214691162,16
10,1.358e-02,1,0.01,512,10,1.7139174342155457,23
10,1.169e-01,1,0.001,512,10,1.2785820364952087,181
10,2.520e-01,1,0.0001,512,10,1.1249916553497314,190
10,1.661e-02,2,0.1,512,10,1.33418208360672,35
10,1.210e-02,2,0.01,512,10,1.4962525963783264,18
10,2.591e-02,2,0.001,512,10,1.5428741574287415,65
10,3.218e-02,2,0.0001,512,10,1.3386699557304382,91
10,3.635e-02,3,0.1,512,10,1.3229624032974243,115
10,3.635e-02,3,0.01,512,10,1.4989917278289795,115
10,3.635e-02,3,0.001,512,10,1.3162299990653992,115
10,3.635e-02,3,0.0001,512,10,1.3381716012954712,115
10,1.587e-02,1,0.1,512,25,1.3578684329986572,31
10,3.124e-03,1,0.01,512,25,1.403247594833374,4
10,3.005e-02,1,0.001,512,25,1.33792245388031,69
10,6.426e-02,1,0.0001,512,25,1.459098219871521,176
10,3.204e-02,2,0.1,512,25,1.544619619846344,88
10,1.547e-02,2,0.01,512,25,1.7099280953407288,29
10,3.852e-02,2,0.001,512,25,1.6555725932121277,164
10,4.837e-02,2,0.0001,512,25,1.5239250659942627,168
10,3.635e-02,3,0.1,512,25,1.6525810956954956,115
10,3.635e-02,3,0.01,512,25,1.6992082595825195,115
10,3.635e-02,3,0.001,512,25,1.665047287940979,115
10,3.635e-02,3,0.0001,512,25,1.7415934801101685,115
10,8.136e-03,1,0.1,512,50,1.7019490599632263,13
10,1.078e-02,1,0.01,512,50,1.9959132671356201,17
10,2.608e-02,1,0.001,512,50,2.007382392883301,66
10,1.342e-01,1,0.0001,512,50,1.8330985307693481,184
10,3.212e-02,2,0.1,512,50,2.0627347230911255,90
10,3.194e-02,2,0.01,512,50,2.0579973459243774,80
10,2.146e-02,2,0.001,512,50,2.3322633504867554,52
10,3.251e-02,2,0.0001,512,50,2.1539902091026306,94
10,3.635e-02,3,0.1,512,50,2.086669385433197,115
10,3.635e-02,3,0.01,512,50,2.3776418566703796,115
10,3.635e-02,3,0.001,512,50,2.2848598957061768,115
10,3.635e-02,3,0.0001,512,50,2.2155757546424866,115
10,3.203e-02,1,0.1,512,100,2.4726375937461853,87
10,1.789e-02,1,0.01,512,100,2.738676965236664,42
10,9.605e-03,1,0.001,512,100,2.913459300994873,15
10,3.189e-02,1,0.0001,512,100,2.747902035713196,70
10,1.582e-02,2,0.1,512,100,3.068045973777771,30
10,3.196e-02,2,0.01,512,100,3.2326056361198425,83
10,4.586e-02,2,0.001,512,100,3.222882091999054,165
10,1.131e-01,2,0.0001,512,100,3.2206375002861023,180
10,3.635e-02,3,0.1,512,100,3.415617048740387,115
10,3.635e-02,3,0.01,512,100,3.2183934450149536,115
10,3.635e-02,3,0.001,512,100,3.309650242328644,115
10,3.635e-02,3,0.0001,512,100,3.4019033908843994,115
10,5.613e-04,1,0.1,1024,10,1.5458663702011108,2
10,2.732e-02,1,0.01,1024,10,1.305010735988617,68
10,1.609e-01,1,0.001,1024,10,1.1436919569969177,188
10,1.342e-01,1,0.0001,1024,10,1.0088030099868774,185
10,3.204e-02,2,0.1,1024,10,1.1626415252685547,89
10,3.193e-02,2,0.01,1024,10,1.2177435159683228,76
10,5.543e-02,2,0.001,1024,10,1.1785982251167297,172
10,6.074e-02,2,0.0001,1024,10,1.0990612506866455,175
10,3.635e-02,3,0.1,1024,10,1.3728289008140564,99
