Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,6.956e-05,1,0.1,256,50,2.451195180416107
30,1.229e-05,1,0.1,128,25,2.6007959246635437
60,6.075e-06,1,0.01,128,25,3.2854647040367126
100,2.729e-06,1,0.01,512,50,2.38736629486084
300,1.246e-07,1,0.01,128,150,15.565377354621887
600,4.722e-08,1,0.01,128,20,3.2450719475746155
1000,8.389e-09,1,0.01,256,50,5.4738622307777405
3000,1.021e-09,1,0.01,512,150,26.94419926404953
6000,1.445e-09,1,0.001,512,200,85.23507541418076
10000,9.920e-10,1,0.0001,256,300,174.48070907592773
30000,7.635e-10,1,0.001,256,500,800.8090817928314
