Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
10,2.889e-02,1,0.1,128,10,8.35216623544693,37
10,1.540e-02,1,0.01,128,10,6.3677234053611755,22
10,1.329e-01,1,0.001,128,10,3.0174317359924316,178
10,6.250e-02,1,0.0001,128,10,6.296164095401764,100
10,5.951e-02,2,0.1,128,10,9.652937054634094,94
10,2.919e-02,2,0.01,128,10,6.066776931285858,39
10,2.957e-02,2,0.001,128,10,3.5308077931404114,41
10,8.826e-02,2,0.0001,128,10,3.8290109634399414,171
10,8.332e-02,3,0.1,128,10,2.657892644405365,155
10,8.332e-02,3,0.01,128,10,2.818462908267975,155
10,8.332e-02,3,0.001,128,10,4.420429110527039,155
10,8.332e-02,3,0.0001,128,10,3.3904340863227844,155
10,1.500e-02,1,0.1,128,25,3.3495434522628784,16
10,2.217e-03,1,0.01,128,25,3.3163821697235107,9
10,1.924e-03,1,0.001,128,25,3.4936575293540955,8
10,6.415e-02,1,0.0001,128,25,3.3814567923545837,102
10,5.960e-02,2,0.1,128,25,5.634433031082153,97
10,5.908e-02,2,0.01,128,25,3.7350115180015564,92
10,1.721e-02,2,0.001,128,25,4.034461319446564,25
10,2.367e-02,2,0.0001,128,25,3.744985342025757,32
10,8.332e-02,3,0.1,128,25,3.905307114124298,155
10,8.332e-02,3,0.01,128,25,4.090063035488129,155
10,8.332e-02,3,0.001,128,25,3.9095457196235657,155
10,8.332e-02,3,0.0001,128,25,3.9626538157463074,155
10,2.863e-02,1,0.1,128,50,5.336480140686035,34
10,1.632e-02,1,0.01,128,50,6.304142713546753,23
10,1.513e-02,1,0.001,128,50,5.431973516941071,18
10,1.394e-01,1,0.0001,128,50,5.318777620792389,179
10,5.954e-02,2,0.1,128,50,5.733168840408325,96
10,4.373e-02,2,0.01,128,50,7.328402936458588,59
10,4.491e-02,2,0.001,128,50,6.265495598316193,67
10,4.108e-01,2,0.0001,128,50,6.2353256940841675,191
10,8.332e-02,3,0.1,128,50,6.714296281337738,155
10,8.332e-02,3,0.01,128,50,5.882020592689514,155
10,8.332e-02,3,0.001,128,50,5.85035502910614,155
10,8.332e-02,3,0.0001,128,50,6.331069886684418,155
10,1.486e-02,1,0.1,128,100,8.813182711601257,14
10,4.493e-02,1,0.01,128,100,9.833204805850983,69
10,1.044e-03,1,0.001,128,100,9.901023387908936,2
10,1.737e-02,1,0.0001,128,100,9.657175898551941,28
10,5.943e-02,2,0.1,128,100,9.712777554988861,93
10,4.458e-02,2,0.01,128,100,8.749103963375092,65
10,2.943e-02,2,0.001,128,100,9.123353958129883,40
10,5.278e-02,2,0.0001,128,100,14.789701461791992,84
10,8.332e-02,3,0.1,128,100,11.118518352508545,155
10,8.332e-02,3,0.01,128,100,10.808098256587982,155
10,8.332e-02,3,0.001,128,100,13.620078146457672,155
10,8.332e-02,3,0.0001,128,100,9.936678349971771,155
10,2.901e-02,1,0.1,256,10,3.1443422436714172,38
10,1.765e-03,1,0.01,256,10,1.6907291412353516,6
10,9.886e-02,1,0.001,256,10,1.6747722625732422,173
10,5.098e-02,1,0.0001,256,10,1.743088722229004,82
10,4.329e-02,2,0.1,256,10,1.8281114101409912,57
10,4.528e-02,2,0.01,256,10,1.800435483455658,70
10,4.368e-02,2,0.001,256,10,1.8769792914390564,58
10,3.653e-01,2,0.0001,256,10,1.6326337456703186,188
10,8.332e-02,3,0.1,256,10,1.7393492460250854,107
10,8.332e-02,3,0.01,256,10,1.7717617750167847,107
10,8.332e-02,3,0.001,256,10,2.1647108793258667,107
10,8.332e-02,3,0.0001,256,10,1.8021810054779053,107
