Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,4.462e-04,1,0.1,256,25,2.282396912574768
30,3.352e-05,1,0.1,512,25,1.73236745595932
60,1.122e-05,1,0.1,512,100,3.572696566581726
100,3.424e-06,1,0.01,256,50,4.786949396133423
300,1.240e-07,1,0.01,128,150,23.317149341106415
600,1.783e-07,1,0.01,256,100,9.513061761856079
1000,6.875e-08,1,0.01,256,100,10.408916532993317
3000,3.388e-09,1,0.01,512,200,40.39872109889984
6000,3.905e-09,1,0.01,512,200,81.25722962617874
10000,7.921e-11,1,0.01,512,175,111.88733690977097
30000,3.268e-09,1,0.01,1024,300,482.02980440855026
