Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
10,8.296e-03,1,0.1,128,10,1.587504506111145,8
10,1.763e-02,1,0.01,128,10,1.6346283555030823,32
10,1.711e-02,1,0.001,128,10,1.1274839043617249,29
10,2.527e-01,1,0.0001,128,10,1.2334508299827576,185
10,2.347e-02,2,0.1,128,10,1.1845815777778625,53
10,3.141e-02,2,0.01,128,10,1.3985095024108887,86
10,3.136e-02,2,0.001,128,10,1.2010378241539001,76
10,4.789e-02,2,0.0001,128,10,1.412971556186676,171
10,3.556e-02,3,0.1,128,10,1.4643337726593018,148
10,3.556e-02,3,0.01,128,10,1.7755010724067688,148
10,3.556e-02,3,0.001,128,10,1.354127824306488,148
10,3.556e-02,3,0.0001,128,10,1.5628198981285095,148
10,2.445e-02,1,0.1,128,25,1.8171399235725403,65
10,1.706e-02,1,0.01,128,25,2.0719592571258545,28
10,1.935e-02,1,0.001,128,25,2.0233388543128967,36
10,6.302e-02,1,0.0001,128,25,2.2507309317588806,173
10,2.356e-02,2,0.1,128,25,2.431496739387512,54
10,2.331e-02,2,0.01,128,25,2.71947705745697,47
10,2.432e-02,2,0.001,128,25,2.3340079188346863,64
10,3.308e-02,2,0.0001,128,25,2.52300226688385,96
10,3.556e-02,3,0.1,128,25,2.576110303401947,148
10,3.556e-02,3,0.01,128,25,2.668113946914673,148
10,3.556e-02,3,0.001,128,25,2.660633862018585,148
10,3.556e-02,3,0.0001,128,25,2.9052295684814453,148
10,8.294e-03,1,0.1,128,50,3.3477949500083923,7
10,1.363e-02,1,0.01,128,50,3.680157244205475,14
10,1.935e-02,1,0.001,128,50,3.492409884929657,37
10,4.344e-02,1,0.0001,128,50,3.5756868720054626,169
10,2.345e-02,2,0.1,128,50,3.928991734981537,52
10,2.333e-02,2,0.01,128,50,3.9274990558624268,48
10,3.136e-02,2,0.001,128,50,4.066125333309174,80
10,3.136e-02,2,0.0001,128,50,4.277808666229248,77
10,3.556e-02,3,0.1,128,50,4.0865702629089355,148
10,3.556e-02,3,0.01,128,50,4.144664943218231,148
