Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,8.507e-05,1,0.1,256,100,4.805397629737854
30,3.165e-05,1,0.01,128,50,5.518491208553314
60,6.060e-06,1,0.1,512,50,2.6466715931892395
100,2.983e-06,1,0.01,128,25,3.0875130891799927
300,1.902e-07,1,0.01,512,50,2.959335505962372
600,2.637e-08,1,0.01,1024,100,4.3443803191185
1000,5.793e-09,1,0.01,256,100,9.729727864265442
3000,1.551e-09,1,0.001,512,200,34.668278872966766
6000,6.552e-10,1,0.001,512,150,55.88927209377289
10000,3.335e-10,1,0.001,1024,300,168.2260731458664
30000,6.039e-10,1,0.001,1024,175,264.7451805472374
