Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
10,1.604e-03,1,0.1,128,10,2.8588539958000183,6
10,1.050e-02,1,0.01,128,10,2.3158069252967834,20
10,4.244e-02,1,0.001,128,10,1.826115608215332,99
10,7.248e-02,1,0.0001,128,10,2.2504826188087463,173
10,3.780e-02,2,0.1,128,10,2.4766266345977783,94
10,2.837e-02,2,0.01,128,10,2.4706417322158813,67
10,1.927e-02,2,0.001,128,10,2.13753342628479,34
10,3.927e-02,2,0.0001,128,10,2.5235010385513306,96
10,4.464e-02,3,0.1,128,10,2.4459580183029175,117
10,4.464e-02,3,0.01,128,10,5.04924476146698,117
10,4.464e-02,3,0.001,128,10,2.547436237335205,117
10,4.464e-02,3,0.0001,128,10,2.5394577383995056,117
10,2.016e-04,1,0.1,128,25,2.8491296768188477,3
10,1.099e-02,1,0.01,128,25,3.183984637260437,22
10,3.706e-02,1,0.001,128,25,3.1737621426582336,78
10,5.065e-02,1,0.0001,128,25,4.877953767776489,168
10,3.743e-02,2,0.1,128,25,3.252551257610321,93
10,3.717e-02,2,0.01,128,25,3.3011717200279236,88
10,2.807e-02,2,0.001,128,25,4.520908296108246,60
10,6.987e-02,2,0.0001,128,25,3.5814209580421448,172
10,4.464e-02,3,0.1,128,25,3.548259973526001,117
10,4.464e-02,3,0.01,128,25,3.259532630443573,117
10,4.464e-02,3,0.001,128,25,3.430325210094452,117
10,4.464e-02,3,0.0001,128,25,3.153316378593445,117
10,9.868e-03,1,0.1,128,50,4.352109968662262,16
10,2.131e-02,1,0.01,128,50,4.459572911262512,42
10,4.838e-03,1,0.001,128,50,4.824845790863037,10
10,1.021e-01,1,0.0001,128,50,4.743314027786255,182
10,3.728e-02,2,0.1,128,50,4.815620064735413,90
10,2.806e-02,2,0.01,128,50,5.273395895957947,59
10,2.755e-02,2,0.001,128,50,4.8609994649887085,50
10,2.884e-02,2,0.0001,128,50,5.422248601913452,70
10,4.464e-02,3,0.1,128,50,5.251205563545227,117
10,4.464e-02,3,0.01,128,50,6.519313395023346,117
10,4.464e-02,3,0.001,128,50,6.979084134101868,117
10,4.464e-02,3,0.0001,128,50,5.115069568157196,117
10,3.899e-04,1,0.1,128,100,7.843521893024445,5
10,9.010e-03,1,0.01,128,100,8.346676409244537,11
10,1.219e-02,1,0.001,128,100,9.507322251796722,26
10,3.798e-02,1,0.0001,128,100,8.843098640441895,95
10,2.761e-02,2,0.1,128,100,9.116367816925049,52
10,3.643e-04,2,0.01,128,100,9.114622950553894,4
10,3.706e-02,2,0.001,128,100,8.58628535270691,80
10,4.015e-02,2,0.0001,128,100,8.946821331977844,97
10,4.464e-02,3,0.1,128,100,9.413573145866394,117
10,4.464e-02,3,0.01,128,100,9.875337839126587,117
10,4.464e-02,3,0.001,128,100,9.097169399261475,117
10,4.464e-02,3,0.0001,128,100,9.264471769332886,117
10,1.935e-04,1,0.1,256,10,2.495076835155487,2
10,2.051e-02,1,0.01,256,10,2.1073635816574097,38
10,8.156e-02,1,0.001,256,10,1.60745108127594,176
10,1.486e-01,1,0.0001,256,10,1.59224134683609,186
10,2.834e-02,2,0.1,256,10,1.9056529998779297,66
10,3.712e-02,2,0.01,256,10,1.857780635356903,84
10,7.507e-02,2,0.001,256,10,1.612437129020691,174
10,3.644e-02,2,0.0001,256,10,1.6493389010429382,77
10,4.464e-02,3,0.1,256,10,1.824620008468628,133
10,4.464e-02,3,0.01,256,10,1.9036584496498108,133
10,4.464e-02,3,0.001,256,10,2.3968396186828613,133
10,4.464e-02,3,0.0001,256,10,2.001646637916565,133
10,9.448e-03,1,0.1,256,25,2.304336369037628,13
10,2.481e-02,1,0.01,256,25,2.120827376842499,47
10,2.382e-02,1,0.001,256,25,2.279901623725891,46
10,8.079e-02,1,0.0001,256,25,2.171193301677704,175
10,2.868e-02,2,0.1,256,25,2.2041048407554626,69
10,3.707e-02,2,0.01,256,25,2.381131410598755,82
10,4.154e-02,2,0.001,256,25,2.215823233127594,98
10,6.185e-02,2,0.0001,256,25,2.571122944355011,169
10,4.464e-02,3,0.1,256,25,2.7085060477256775,133
10,4.464e-02,3,0.01,256,25,2.5496808290481567,133
10,4.464e-02,3,0.001,256,25,2.536216676235199,133
10,4.464e-02,3,0.0001,256,25,2.5217552185058594,133
10,9.838e-03,1,0.1,256,50,2.987011730670929,15
10,3.870e-03,1,0.01,256,50,2.9443753957748413,9
10,2.051e-02,1,0.001,256,50,3.233102858066559,39
10,1.644e-02,1,0.0001,256,50,3.2348479628562927,29
10,2.787e-02,2,0.1,256,50,3.388187527656555,55
10,2.806e-02,2,0.01,256,50,4.0003010630607605,58
10,2.949e-02,2,0.001,256,50,3.22487473487854,72
10,3.718e-02,2,0.0001,256,50,3.4759538769721985,89
10,4.464e-02,3,0.1,256,50,4.3144612312316895,133
10,4.464e-02,3,0.01,256,50,3.783630669116974,133
10,4.464e-02,3,0.001,256,50,4.0471755266189575,133
10,4.464e-02,3,0.0001,256,50,3.3051604628562927,133
10,1.714e-04,1,0.1,256,100,4.9452738761901855,1
10,1.016e-02,1,0.01,256,100,5.246967077255249,19
10,2.118e-02,1,0.001,256,100,5.272897362709045,41
10,8.724e-02,1,0.0001,256,100,5.508766055107117,177
10,2.778e-02,2,0.1,256,100,5.471865117549896,54
10,3.716e-02,2,0.01,256,100,5.99820739030838,87
10,2.832e-02,2,0.001,256,100,5.544919729232788,65
10,2.956e-02,2,0.0001,256,100,6.160024642944336,74
10,4.464e-02,3,0.1,256,100,6.092206418514252,133
10,4.464e-02,3,0.01,256,100,5.825917959213257,133
10,4.464e-02,3,0.001,256,100,6.308129072189331,133
10,4.464e-02,3,0.0001,256,100,6.183462858200073,133
10,9.770e-03,1,0.1,512,10,2.564640522003174,14
10,1.186e-02,1,0.01,512,10,1.426933765411377,25
10,1.448e-01,1,0.001,512,10,1.3932744860649109,185
10,4.423e-01,1,0.0001,512,10,1.3698357939720154,191
10,3.714e-02,2,0.1,512,10,1.5653135776519775,86
10,1.886e-02,2,0.01,512,10,1.7867212891578674,32
10,3.713e-02,2,0.001,512,10,1.3865413665771484,85
10,8.814e-02,2,0.0001,512,10,1.472062587738037,179
10,4.464e-02,3,0.1,512,10,1.9353236556053162,133
10,4.464e-02,3,0.01,512,10,2.0712103247642517,133
10,4.464e-02,3,0.001,512,10,1.4800407886505127,133
10,4.464e-02,3,0.0001,512,10,1.6353757977485657,133
10,1.004e-02,1,0.1,512,25,1.7283769845962524,18
10,2.751e-03,1,0.01,512,25,1.6792592406272888,7
10,2.360e-02,1,0.001,512,25,1.5792760848999023,45
10,9.125e-02,1,0.0001,512,25,1.5605762004852295,180
10,9.882e-03,2,0.1,512,25,1.8754839897155762,17
10,2.015e-02,2,0.01,512,25,1.968485713005066,37
10,6.410e-02,2,0.001,512,25,1.9515299797058105,170
10,4.942e-02,2,0.0001,512,25,2.088164806365967,165
10,4.464e-02,3,0.1,512,25,2.051263391971588,133
10,4.464e-02,3,0.01,512,25,2.1933833360671997,133
10,4.464e-02,3,0.001,512,25,2.121824264526367,133
10,4.464e-02,3,0.0001,512,25,2.013365149497986,133
10,1.914e-02,1,0.1,512,50,2.138779401779175,33
10,1.050e-02,1,0.01,512,50,2.32403427362442,21
10,1.848e-02,1,0.001,512,50,2.3778898119926453,30
10,9.780e-02,1,0.0001,512,50,2.229287266731262,181
10,2.798e-02,2,0.1,512,50,2.9770376086235046,56
10,1.931e-02,2,0.01,512,50,2.535219728946686,35
10,2.876e-03,2,0.001,512,50,3.131624221801758,8
10,3.463e-01,2,0.0001,512,50,2.4659048318862915,190
10,4.464e-02,3,0.1,512,50,3.0894867181777954,133
10,4.464e-02,3,0.01,512,50,2.6085236072540283,133
10,4.464e-02,3,0.001,512,50,2.997483015060425,133
10,4.464e-02,3,0.0001,512,50,2.780064582824707,133
10,9.431e-03,1,0.1,512,100,3.497645378112793,12
10,2.101e-02,1,0.01,512,100,3.4889188408851624,40
10,1.303e-02,1,0.001,512,100,3.4856770038604736,27
10,6.528e-02,1,0.0001,512,100,3.527067244052887,171
10,2.843e-02,2,0.1,512,100,3.6564705967903137,68
10,2.757e-02,2,0.01,512,100,3.898323714733124,51
10,2.754e-02,2,0.001,512,100,4.25836056470871,49
10,1.932e-01,2,0.0001,512,100,3.882616102695465,187
10,4.464e-02,3,0.1,512,100,3.873140811920166,133
10,4.464e-02,3,0.01,512,100,4.254121541976929,133
