Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,1.714e-04,1,0.1,256,100,4.9452738761901855
30,4.084e-05,1,0.1,128,10,1.9270952939987183
60,1.131e-05,1,0.1,1024,100,2.5835904479026794
100,3.746e-06,1,0.01,512,100,3.468972623348236
300,1.253e-07,1,0.01,128,150,17.766732454299927
600,2.980e-08,1,0.01,256,50,4.390507638454437
1000,1.499e-08,1,0.01,512,100,7.706139802932739
3000,4.756e-09,1,0.01,512,200,34.509703040122986
6000,1.360e-09,1,0.01,512,150,56.329594135284424
10000,3.925e-09,1,0.01,512,300,188.84306144714355
30000,1.800e-09,1,0.0001,128,500,896.1057079434395
