Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
100,1.311e-02,1,0.1,64,10,1.8453166484832764,4
100,3.927e-02,1,0.01,64,10,1.8709980249404907,58
100,3.467e-02,1,0.001,64,10,1.3723309636116028,34
100,5.362e-02,1,0.0001,64,10,1.2992762923240662,160
100,3.854e-02,2,0.1,64,10,1.380060613155365,48
100,5.194e-02,2,0.01,64,10,1.5064727067947388,120
100,4.772e-02,2,0.001,64,10,1.2818230390548706,83
100,4.830e-02,2,0.0001,64,10,1.57354336977005,87
100,5.242e-02,3,0.1,64,10,1.6161792278289795,149
100,3.944e-02,3,0.01,64,10,1.7503213286399841,61
100,5.192e-02,3,0.001,64,10,1.5184404850006104,108
100,5.302e-02,3,0.0001,64,10,1.597479522228241,157
100,4.116e-02,1,0.1,64,25,1.8186384439468384,72
100,2.611e-02,1,0.01,64,25,2.2133328914642334,19
100,2.811e-02,1,0.001,64,25,2.120082199573517,29
100,4.357e-02,1,0.0001,64,25,2.2285423278808594,76
100,3.858e-02,2,0.1,64,25,2.5439494252204895,50
100,3.815e-02,2,0.01,64,25,2.6706103086471558,43
100,3.999e-02,2,0.001,64,25,2.2868863344192505,65
100,5.437e-02,2,0.0001,64,25,2.379388749599457,170
100,4.250e-02,3,0.1,64,25,2.3654255867004395,75
100,5.202e-02,3,0.01,64,25,2.4312506318092346,134
100,5.195e-02,3,0.001,64,25,2.6930506229400635,121
100,5.437e-02,3,0.0001,64,25,2.6711087226867676,171
100,1.340e-02,1,0.1,64,50,2.805499494075775,6
100,3.813e-02,1,0.01,64,50,3.2582887411117554,40
100,1.363e-02,1,0.001,64,50,3.1503278017044067,10
100,3.613e-02,1,0.0001,64,50,3.243329107761383,35
100,5.283e-02,2,0.1,64,50,3.3712372183799744,155
100,4.009e-02,2,0.01,64,50,3.1834893822669983,66
100,5.193e-02,2,0.001,64,50,3.319625198841095,117
100,5.222e-02,2,0.0001,64,50,3.504879415035248,145
100,5.302e-02,3,0.1,64,50,3.3620118498802185,156
100,5.201e-02,3,0.01,64,50,3.521835207939148,133
100,5.193e-02,3,0.001,64,50,3.252803385257721,116
