Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
100,3.125e-04,1,0.1,64,10,2.296859920024872,1
100,1.709e-02,1,0.01,64,10,2.245995581150055,13
100,5.136e-02,1,0.001,64,10,1.8333489298820496,79
100,6.972e-02,1,0.0001,64,10,2.056252896785736,164
100,6.709e-02,2,0.1,64,10,1.893438458442688,154
100,4.812e-02,2,0.01,64,10,2.185657262802124,45
100,6.542e-02,2,0.001,64,10,1.8640169501304626,117
100,7.400e-02,2,0.0001,64,10,2.0829317569732666,175
100,6.630e-02,3,0.1,64,10,2.273170590400696,143
100,4.924e-02,3,0.01,64,10,2.1011322140693665,57
100,6.537e-02,3,0.001,64,10,2.4596744179725647,97
100,7.813e-02,3,0.0001,64,10,2.2190672159194946,179
100,1.565e-02,1,0.1,64,25,2.510788381099701,7
100,6.550e-02,1,0.01,64,25,3.315136671066284,128
100,1.956e-02,1,0.001,64,25,3.2403372526168823,20
100,5.775e-02,1,0.0001,64,25,3.215403378009796,89
100,4.840e-02,2,0.1,64,25,3.64600270986557,50
100,6.560e-02,2,0.01,64,25,3.2173981070518494,136
100,4.963e-02,2,0.001,64,25,3.1119306087493896,64
100,6.704e-02,2,0.0001,64,25,3.1914679408073425,153
100,5.511e-02,3,0.1,64,25,3.940714657306671,85
100,6.575e-02,3,0.01,64,25,3.4971503615379333,138
100,6.541e-02,3,0.001,64,25,3.2016910910606384,116
100,7.164e-02,3,0.0001,64,25,3.489671051502228,169
100,3.249e-02,1,0.1,64,50,3.9968143105506897,28
100,3.282e-02,1,0.01,64,50,4.700683772563934,30
100,3.174e-02,1,0.001,64,50,4.4179388880729675,22
100,4.316e-02,1,0.0001,64,50,4.201019525527954,42
100,5.000e-02,2,0.1,64,50,4.603443503379822,66
100,3.294e-02,2,0.01,64,50,4.800167143344879,31
100,6.539e-02,2,0.001,64,50,4.367573499679565,104
100,4.881e-02,2,0.0001,64,50,4.579257130622864,52
100,6.837e-02,3,0.1,64,50,4.8789560198783875,161
100,6.546e-02,3,0.01,64,50,4.635855972766876,123
100,6.540e-02,3,0.001,64,50,4.5742709040641785,108
100,5.681e-02,3,0.0001,64,50,4.740326821804047,86
100,1.817e-02,1,0.1,64,100,6.7923407554626465,17
100,4.884e-02,1,0.01,64,100,7.636085331439972,53
100,4.899e-02,1,0.001,64,100,7.951492071151733,56
100,5.211e-02,1,0.0001,64,100,7.776210606098175,80
100,3.239e-02,2,0.1,64,100,7.476013481616974,27
100,6.549e-02,2,0.01,64,100,7.79914915561676,126
100,6.540e-02,2,0.001,64,100,7.105752944946289,105
100,6.540e-02,2,0.0001,64,100,7.200250625610352,109
100,6.666e-02,3,0.1,64,100,7.899631321430206,149
100,6.555e-02,3,0.01,64,100,8.1906019449234,133
