Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
100,3.754e-02,1,0.1,64,10,1.915878176689148,63
100,4.915e-02,1,0.01,64,10,2.167206108570099,107
100,2.601e-02,1,0.001,64,10,1.9049071073532104,28
100,4.754e-02,1,0.0001,64,10,2.108363389968872,102
100,2.291e-02,2,0.1,64,10,1.8026812672615051,18
100,2.417e-02,2,0.01,64,10,2.0043914318084717,20
100,4.928e-02,2,0.001,64,10,1.8156458139419556,118
100,5.524e-02,2,0.0001,64,10,1.9163767099380493,180
100,5.159e-02,3,0.1,64,10,2.417536675930023,167
100,4.934e-02,3,0.01,64,10,2.186903476715088,134
100,3.821e-02,3,0.001,64,10,2.0323169231414795,75
100,5.332e-02,3,0.0001,64,10,2.2804038524627686,171
100,2.424e-02,1,0.1,64,25,2.4045718908309937,21
100,2.696e-02,1,0.01,64,25,3.0097031593322754,34
100,1.373e-02,1,0.001,64,25,2.7174850702285767,7
100,4.653e-02,1,0.0001,64,25,2.7189812064170837,98
100,5.030e-02,2,0.1,64,25,3.045857012271881,157
100,4.971e-02,2,0.01,64,25,2.835419714450836,151
100,2.451e-02,2,0.001,64,25,2.9767916798591614,23
100,4.632e-02,2,0.0001,64,25,2.8446450233459473,97
100,3.686e-02,3,0.1,64,25,3.0221707820892334,58
100,3.798e-02,3,0.01,64,25,3.2552979588508606,64
100,4.933e-02,3,0.001,64,25,3.027904987335205,133
100,5.184e-02,3,0.0001,64,25,3.2193928956985474,168
100,3.908e-02,1,0.1,64,50,3.6801609992980957,85
100,1.404e-02,1,0.01,64,50,4.010777473449707,9
100,1.673e-03,1,0.001,64,50,4.53138530254364,3
100,3.853e-02,1,0.0001,64,50,4.21697598695755,81
100,5.128e-02,2,0.1,64,50,4.404472768306732,166
100,4.963e-02,2,0.01,64,50,4.258615493774414,149
100,3.802e-02,2,0.001,64,50,4.177581191062927,70
100,3.312e-02,2,0.0001,64,50,4.156139314174652,43
100,5.185e-02,3,0.1,64,50,4.432151257991791,169
100,3.688e-02,3,0.01,64,50,4.933809757232666,60
100,3.801e-02,3,0.001,64,50,4.9739521741867065,67
100,4.948e-02,3,0.0001,64,50,4.580005347728729,148
100,1.173e-02,1,0.1,64,100,7.288264274597168,6
100,2.343e-04,1,0.01,64,100,7.742551743984222,2
100,3.650e-02,1,0.001,64,100,7.084310233592987,50
100,3.363e-02,1,0.0001,64,100,7.62686026096344,44
100,4.964e-02,2,0.1,64,100,7.412931978702545,150
100,3.683e-02,2,0.01,64,100,7.295745313167572,56
100,3.801e-02,2,0.001,64,100,7.087551712989807,69
100,3.296e-02,2,0.0001,64,100,7.138415277004242,42
100,5.022e-02,3,0.1,64,100,7.756263971328735,155
100,4.938e-02,3,0.01,64,100,7.369796276092529,137
100,4.931e-02,3,0.001,64,100,7.9051154255867,127
100,3.815e-02,3,0.0001,64,100,7.439610481262207,74
100,3.852e-02,1,0.1,128,10,2.505052864551544,79
100,2.718e-02,1,0.01,128,10,1.9211143255233765,36
100,4.942e-02,1,0.001,128,10,1.5491082668304443,143
100,5.243e-02,1,0.0001,128,10,1.424940049648285,170
100,4.925e-02,2,0.1,128,10,1.657319724559784,116
100,4.927e-02,2,0.01,128,10,1.775003969669342,117
100,4.943e-02,2,0.001,128,10,1.9617553353309631,145
100,4.911e-02,2,0.0001,128,10,1.827613651752472,106
100,3.838e-02,3,0.1,128,10,1.9976596236228943,77
100,4.932e-02,3,0.01,128,10,1.7755036354064941,132
100,4.889e-02,3,0.001,128,10,1.8864569664001465,105
100,5.392e-02,3,0.0001,128,10,1.8717454671859741,177
100,2.435e-02,1,0.1,128,25,2.0213457345962524,22
100,3.541e-02,1,0.01,128,25,2.16446316242218,45
100,1.995e-02,1,0.001,128,25,2.1756836771965027,15
100,4.697e-02,1,0.0001,128,25,2.0599926710128784,100
100,3.651e-02,2,0.1,128,25,2.223305881023407,51
100,4.937e-02,2,0.01,128,25,2.3469755053520203,136
100,3.621e-02,2,0.001,128,25,2.088416635990143,49
100,5.421e-02,2,0.0001,128,25,2.231534719467163,179
100,4.998e-02,3,0.1,128,25,2.402576744556427,154
100,4.925e-02,3,0.01,128,25,2.5581606030464172,115
100,4.931e-02,3,0.001,128,25,2.3063340187072754,128
100,4.659e-02,3,0.0001,128,25,2.2749178409576416,99
100,3.544e-02,1,0.1,128,50,2.74316668510437,46
100,1.638e-04,1,0.01,128,50,2.905482530593872,1
100,1.410e-02,1,0.001,128,50,3.0186800956726074,10
100,4.392e-02,1,0.0001,128,50,2.799515962600708,94
100,5.029e-02,2,0.1,128,50,3.076026499271393,156
100,3.809e-02,2,0.01,128,50,2.9017431139945984,73
100,3.828e-02,2,0.001,128,50,2.9266756772994995,76
100,5.124e-02,2,0.0001,128,50,2.8773075938224792,165
100,5.051e-02,3,0.1,128,50,3.3031692504882812,159
100,4.923e-02,3,0.01,128,50,3.30541330575943,112
100,4.928e-02,3,0.001,128,50,3.3744784593582153,121
100,4.942e-02,3,0.0001,128,50,3.4111302495002747,144
100,1.143e-02,1,0.1,128,100,3.9489421248435974,5
100,3.660e-02,1,0.01,128,100,4.723372757434845,55
100,2.256e-02,1,0.001,128,100,4.786702513694763,16
100,4.028e-02,1,0.0001,128,100,4.819365739822388,86
100,3.902e-02,2,0.1,128,100,4.762766778469086,84
100,4.931e-02,2,0.01,128,100,4.7547876834869385,131
100,3.804e-02,2,0.001,128,100,4.7946817278862,71
100,4.943e-02,2,0.0001,128,100,4.70192939043045,146
100,3.848e-02,3,0.1,128,100,4.921343445777893,78
100,4.921e-02,3,0.01,128,100,5.0285561084747314,111
100,4.929e-02,3,0.001,128,100,5.116072356700897,126
100,4.701e-02,3,0.0001,128,100,5.301576793193817,101
100,2.743e-02,1,0.1,256,10,2.2639477849006653,37
100,3.657e-02,1,0.01,256,10,1.877978801727295,53
100,4.259e-02,1,0.001,256,10,1.4329190254211426,91
100,5.117e-02,1,0.0001,256,10,1.6002216935157776,164
100,3.852e-02,2,0.1,256,10,1.629642367362976,80
100,2.716e-02,2,0.01,256,10,1.7024481892585754,35
100,4.612e-02,2,0.001,256,10,1.4713164567947388,96
100,5.784e-02,2,0.0001,256,10,1.5074697732925415,187
100,5.090e-02,3,0.1,256,10,2.0280781388282776,162
100,3.654e-02,3,0.01,256,10,1.7194041013717651,52
100,4.940e-02,3,0.001,256,10,1.6762686371803284,141
100,5.860e-02,3,0.0001,256,10,1.6209166646003723,189
100,2.745e-02,1,0.1,256,25,1.6585662961006165,38
100,1.538e-02,1,0.01,256,25,1.9241061210632324,13
100,2.564e-02,1,0.001,256,25,1.8276141285896301,27
100,5.622e-02,1,0.0001,256,25,1.9772135615348816,183
100,3.686e-02,2,0.1,256,25,1.8612736463546753,57
100,4.939e-02,2,0.01,256,25,1.8370884656906128,140
100,4.928e-02,2,0.001,256,25,2.1766805052757263,122
100,5.647e-02,2,0.0001,256,25,1.8188879489898682,186
100,3.567e-02,3,0.1,256,25,1.889449417591095,48
100,4.938e-02,3,0.01,256,25,1.985192596912384,139
100,3.865e-02,3,0.001,256,25,1.864515244960785,82
100,5.390e-02,3,0.0001,256,25,2.180420935153961,175
100,2.533e-02,1,0.1,256,50,2.3045883178710938,26
100,1.423e-02,1,0.01,256,50,2.5589088201522827,11
100,3.709e-02,1,0.001,256,50,2.373902678489685,62
100,4.524e-02,1,0.0001,256,50,2.514776647090912,95
100,5.038e-02,2,0.1,256,50,2.597804307937622,158
100,4.925e-02,2,0.01,256,50,2.302843928337097,114
100,4.259e-02,2,0.001,256,50,2.4000834226608276,90
100,5.391e-02,2,0.0001,256,50,2.2791563272476196,176
100,5.078e-02,3,0.1,256,50,2.7022756338119507,161
100,3.658e-02,3,0.01,256,50,2.789043962955475,54
100,4.931e-02,3,0.001,256,50,2.5205116271972656,129
100,5.393e-02,3,0.0001,256,50,2.6484187841415405,178
100,2.527e-02,1,0.1,256,100,3.185233771800995,25
100,2.267e-02,1,0.01,256,100,3.2779865860939026,17
