Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
100,1.122e-04,1,0.1,64,10,2.2828972935676575,1
100,4.761e-02,1,0.01,64,10,3.2099185585975647,69
100,2.867e-02,1,0.001,64,10,2.4928358793258667,21
100,7.173e-02,1,0.0001,64,10,2.91595458984375,180
100,6.481e-02,2,0.1,64,10,1.9719786643981934,162
100,4.754e-02,2,0.01,64,10,3.063061535358429,67
100,4.875e-02,2,0.001,64,10,1.9630025029182434,75
100,6.322e-02,2,0.0001,64,10,1.9393158555030823,148
100,6.199e-02,3,0.1,64,10,2.549683451652527,130
100,6.174e-02,3,0.01,64,10,2.314561605453491,110
100,6.173e-02,3,0.001,64,10,2.282148778438568,106
100,7.200e-02,3,0.0001,64,10,2.1799222826957703,181
100,3.207e-02,1,0.1,64,25,2.4738860726356506,35
100,1.422e-02,1,0.01,64,25,2.7316970229148865,11
100,3.375e-02,1,0.001,64,25,2.7192302346229553,41
100,6.240e-02,1,0.0001,64,25,3.088991940021515,140
100,4.842e-02,2,0.1,64,25,3.4983972907066345,74
100,6.177e-02,2,0.01,64,25,4.204758107662201,116
100,3.096e-02,2,0.001,64,25,3.515851318836212,27
100,5.052e-02,2,0.0001,64,25,2.974049210548401,77
100,6.401e-02,3,0.1,64,25,3.51310795545578,155
100,4.573e-02,3,0.01,64,25,3.0284036993980408,59
100,6.171e-02,3,0.001,64,25,3.105946362018585,97
100,6.631e-02,3,0.0001,64,25,3.0069605708122253,168
100,3.158e-02,1,0.1,64,50,3.9312400817871094,29
100,3.170e-02,1,0.01,64,50,4.316459834575653,33
100,3.048e-02,1,0.001,64,50,4.718886196613312,25
100,4.836e-02,1,0.0001,64,50,4.480272471904755,73
100,4.727e-02,2,0.1,64,50,4.359844386577606,64
100,4.439e-02,2,0.01,64,50,4.414449334144592,48
100,6.177e-02,2,0.001,64,50,4.389265656471252,117
100,6.255e-02,2,0.0001,64,50,4.688714444637299,144
100,6.254e-02,3,0.1,64,50,5.336233854293823,143
100,6.191e-02,3,0.01,64,50,4.933062493801117,127
100,6.171e-02,3,0.001,64,50,4.819365620613098,98
100,6.253e-02,3,0.0001,64,50,4.714894771575928,142
100,3.271e-02,1,0.1,64,100,7.134177267551422,37
100,3.041e-02,1,0.01,64,100,7.835052967071533,22
100,2.190e-04,1,0.001,64,100,7.029706835746765,6
100,4.735e-02,1,0.0001,64,100,8.085135042667389,65
100,6.212e-02,2,0.1,64,100,7.334391713142395,132
100,2.838e-02,2,0.01,64,100,7.458809196949005,20
100,4.449e-02,2,0.001,64,100,7.162351548671722,51
100,6.173e-02,2,0.0001,64,100,7.347356736660004,105
100,6.434e-02,3,0.1,64,100,8.012329757213593,159
100,6.165e-02,3,0.01,64,100,8.00110936164856,93
100,6.172e-02,3,0.001,64,100,7.853254556655884,101
100,6.174e-02,3,0.0001,64,100,7.8866658210754395,111
100,1.909e-04,1,0.1,128,10,2.462666153907776,3
100,3.167e-02,1,0.01,128,10,2.1076155304908752,32
100,5.320e-02,1,0.001,128,10,1.651584267616272,79
100,6.853e-02,1,0.0001,128,10,1.6560723781585693,172
100,6.237e-02,2,0.1,128,10,1.7134193181991577,138
100,4.587e-02,2,0.01,128,10,1.790712594985962,62
100,6.227e-02,2,0.001,128,10,1.7425912618637085,136
100,6.762e-02,2,0.0001,128,10,1.6702855825424194,170
100,6.553e-02,3,0.1,128,10,1.8495551347732544,165
100,6.167e-02,3,0.01,128,10,1.8909450769424438,94
100,6.224e-02,3,0.001,128,10,2.142273187637329,135
100,7.049e-02,3,0.0001,128,10,2.0088791847229004,178
100,1.425e-02,1,0.1,128,25,1.9088969230651855,12
100,1.741e-02,1,0.01,128,25,2.1033767461776733,16
100,5.425e-02,1,0.001,128,25,2.279405951499939,84
100,5.653e-02,1,0.0001,128,25,2.297856569290161,87
100,6.383e-02,2,0.1,128,25,2.3843756914138794,154
100,4.758e-02,2,0.01,128,25,2.1701977252960205,68
100,3.747e-02,2,0.001,128,25,2.2275447845458984,44
100,6.524e-02,2,0.0001,128,25,2.1622196435928345,164
100,6.285e-02,3,0.1,128,25,2.3554531931877136,146
100,4.586e-02,3,0.01,128,25,2.48560494184494,61
100,6.176e-02,3,0.001,128,25,2.4524435997009277,115
100,7.062e-02,3,0.0001,128,25,2.357447862625122,179
100,2.152e-04,1,0.1,128,50,3.089242100715637,5
100,2.122e-04,1,0.01,128,50,2.9508609771728516,4
100,4.653e-02,1,0.001,128,50,2.9792850017547607,63
100,5.739e-02,1,0.0001,128,50,3.0229183435440063,88
100,6.339e-02,2,0.1,128,50,3.050345540046692,150
100,6.176e-02,2,0.01,128,50,2.9665691256523132,114
100,4.456e-02,2,0.001,128,50,2.908723533153534,53
100,6.596e-02,2,0.0001,128,50,2.9780368208885193,166
100,6.214e-02,3,0.1,128,50,3.368494391441345,133
100,6.175e-02,3,0.01,128,50,3.264273166656494,112
100,4.769e-02,3,0.001,128,50,3.197451412677765,72
100,6.597e-02,3,0.0001,128,50,3.4056451320648193,167
100,3.057e-02,1,0.1,128,100,4.111257433891296,26
100,1.425e-02,1,0.01,128,100,4.706168234348297,13
100,1.210e-03,1,0.001,128,100,4.537867903709412,8
100,4.751e-02,1,0.0001,128,100,4.578758716583252,66
100,6.409e-02,2,0.1,128,100,4.860006511211395,156
100,6.176e-02,2,0.01,128,100,4.7178874015808105,113
100,6.171e-02,2,0.001,128,100,4.306985139846802,99
100,6.031e-02,2,0.0001,128,100,4.507699549198151,91
100,6.418e-02,3,0.1,128,100,4.3478764295578,158
100,4.763e-02,3,0.01,128,100,5.053240597248077,70
100,6.178e-02,3,0.001,128,100,4.973951816558838,118
100,5.403e-02,3,0.0001,128,100,4.98168158531189,83
100,1.659e-02,1,0.1,256,10,1.908896803855896,15
100,3.349e-02,1,0.01,256,10,1.546864628791809,40
100,5.608e-02,1,0.001,256,10,1.507719099521637,86
100,7.324e-02,1,0.0001,256,10,1.4366590976715088,184
100,6.476e-02,2,0.1,256,10,1.6428577899932861,160
100,4.586e-02,2,0.01,256,10,1.958514153957367,60
100,5.962e-02,2,0.001,256,10,1.622413158416748,89
100,7.357e-02,2,0.0001,256,10,1.4977455139160156,185
100,6.337e-02,3,0.1,256,10,1.6416110396385193,149
100,4.572e-02,3,0.01,256,10,1.6079511642456055,58
100,6.523e-02,3,0.001,256,10,1.6316378116607666,163
100,7.624e-02,3,0.0001,256,10,1.777497947216034,189
100,2.227e-04,1,0.1,256,25,1.673526644706726,7
100,2.321e-03,1,0.01,256,25,1.9019150733947754,9
100,4.190e-02,1,0.001,256,25,1.8722448945045471,47
100,6.344e-02,1,0.0001,256,25,1.640114963054657,151
100,3.331e-02,2,0.1,256,25,1.8009353876113892,39
100,4.562e-02,2,0.01,256,25,1.8228777050971985,55
100,6.190e-02,2,0.001,256,25,2.3694156408309937,126
100,7.229e-02,2,0.0001,256,25,2.0091289281845093,182
100,6.242e-02,3,0.1,256,25,2.4090595841407776,141
100,6.189e-02,3,0.01,256,25,2.032067120075226,125
100,6.182e-02,3,0.001,256,25,2.0176058411598206,121
100,7.370e-02,3,0.0001,256,25,2.099137842655182,187
