Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
30,1.057e-02,1,0.1,64,10,2.558153510093689,45
30,1.317e-03,1,0.01,64,10,2.4786168932914734,17
30,5.257e-03,1,0.001,64,10,1.2429221272468567,30
30,1.050e-01,1,0.0001,64,10,1.4408936500549316,190
30,3.807e-02,2,0.1,64,10,1.3995052576065063,158
30,2.789e-02,2,0.01,64,10,1.6770107746124268,92
30,1.962e-02,2,0.001,64,10,1.4496208429336548,63
30,2.296e-01,2,0.0001,64,10,1.671277105808258,192
30,3.770e-02,3,0.1,64,10,1.9959088563919067,130
30,1.924e-02,3,0.01,64,10,2.1430141925811768,60
30,1.759e-02,3,0.001,64,10,1.7543053030967712,54
30,3.999e-02,3,0.0001,64,10,1.9373154044151306,169
30,4.598e-05,1,0.1,64,25,2.487094521522522,2
30,1.166e-02,1,0.01,64,25,2.8787956833839417,51
30,1.685e-03,1,0.001,64,25,2.580843210220337,19
30,1.799e-02,1,0.0001,64,25,2.778563678264618,56
30,2.918e-02,2,0.1,64,25,2.9159464240074158,107
30,2.906e-02,2,0.01,64,25,3.193952202796936,102
30,2.681e-02,2,0.001,64,25,2.798261344432831,82
30,3.554e-02,2,0.0001,64,25,2.9486090540885925,125
30,3.890e-02,3,0.1,64,25,2.895251750946045,164
30,3.782e-02,3,0.01,64,25,3.060809075832367,150
30,3.770e-02,3,0.001,64,25,3.2213786244392395,129
30,2.828e-02,3,0.0001,64,25,3.2767310738563538,98
30,1.060e-02,1,0.1,64,50,3.8851025104522705,47
30,2.057e-04,1,0.01,64,50,4.110749125480652,12
30,2.042e-02,1,0.001,64,50,3.798085629940033,70
30,1.834e-02,1,0.0001,64,50,3.969377040863037,57
30,2.949e-02,2,0.1,64,50,4.2035006284713745,113
30,1.762e-02,2,0.01,64,50,4.435878396034241,55
30,2.785e-02,2,0.001,64,50,4.649307429790497,89
30,2.397e-02,2,0.0001,64,50,4.9362892508506775,77
30,3.803e-02,3,0.1,64,50,4.898141026496887,157
30,2.735e-02,3,0.01,64,50,4.9432713985443115,84
30,3.769e-02,3,0.001,64,50,4.869468450546265,127
30,2.662e-02,3,0.0001,64,50,5.169914126396179,81
30,8.980e-03,1,0.1,64,100,7.558022499084473,37
30,8.650e-05,1,0.01,64,100,7.367531836032867,5
30,1.238e-03,1,0.001,64,100,7.1174522042274475,16
30,6.964e-03,1,0.0001,64,100,7.982636034488678,32
30,3.824e-02,2,0.1,64,100,7.453053712844849,163
30,2.045e-02,2,0.01,64,100,7.940997958183289,71
30,2.019e-02,2,0.001,64,100,7.741033136844635,64
30,2.121e-02,2,0.0001,64,100,7.672466993331909,74
30,2.968e-02,3,0.1,64,100,8.436920166015625,115
30,3.792e-02,3,0.01,64,100,8.906413614749908,152
30,2.918e-02,3,0.001,64,100,8.264132797718048,106
30,3.771e-02,3,0.0001,64,100,8.172876715660095,134
30,4.281e-05,1,0.1,128,10,2.005382776260376,1
30,2.408e-03,1,0.01,128,10,1.7470744252204895,23
30,1.060e-02,1,0.001,128,10,1.6263973712921143,46
30,9.208e-02,1,0.0001,128,10,1.3618558645248413,188
30,1.009e-02,2,0.1,128,10,1.421694815158844,41
30,1.318e-04,2,0.01,128,10,1.4177062511444092,9
30,2.047e-02,2,0.001,128,10,1.4698165655136108,72
30,6.048e-02,2,0.0001,128,10,1.533146858215332,182
30,3.823e-02,3,0.1,128,10,1.5545899868011475,160
30,3.772e-02,3,0.01,128,10,1.5171892642974854,142
30,3.771e-02,3,0.001,128,10,1.7595409750938416,139
30,2.210e-01,3,0.0001,128,10,1.5842600464820862,191
30,8.658e-03,1,0.1,128,25,1.6882323622703552,33
30,2.437e-03,1,0.01,128,25,2.1016255617141724,24
30,5.549e-03,1,0.001,128,25,1.8111526370048523,31
30,4.307e-02,1,0.0001,128,25,1.7824786305427551,174
30,2.053e-02,2,0.1,128,25,2.05849152803421,73
30,3.772e-02,2,0.01,128,25,1.9166203737258911,143
30,2.311e-02,2,0.001,128,25,2.2110829949378967,76
30,2.541e-02,2,0.0001,128,25,1.9954100847244263,80
30,2.941e-02,3,0.1,128,25,2.0889098048210144,111
30,3.773e-02,3,0.01,128,25,2.2896222472190857,146
30,2.922e-02,3,0.001,128,25,2.179167926311493,108
30,3.917e-02,3,0.0001,128,25,2.209087610244751,167
30,1.480e-04,1,0.1,128,50,2.5469335317611694,10
30,1.190e-03,1,0.01,128,50,2.609266936779022,14
30,1.255e-02,1,0.001,128,50,2.9426243901252747,52
30,2.925e-02,1,0.0001,128,50,2.6456698179244995,109
30,2.788e-02,2,0.1,128,50,2.777067482471466,91
30,2.896e-02,2,0.01,128,50,2.9291610717773438,101
30,2.039e-02,2,0.001,128,50,2.790282964706421,67
30,3.541e-02,2,0.0001,128,50,2.931903839111328,124
30,3.824e-02,3,0.1,128,50,3.2460630536079407,162
30,3.793e-02,3,0.01,128,50,3.113667845726013,153
30,2.039e-02,3,0.001,128,50,3.4096246361732483,66
30,2.831e-02,3,0.0001,128,50,3.27323979139328,99
30,1.869e-04,1,0.1,128,100,4.024978160858154,11
30,1.118e-04,1,0.01,128,100,4.756021857261658,7
30,8.899e-03,1,0.001,128,100,4.314951837062836,36
30,1.105e-02,1,0.0001,128,100,4.4129399061203,49
30,2.832e-02,2,0.1,128,100,4.797909677028656,100
30,2.040e-02,2,0.01,128,100,4.86522912979126,69
30,1.875e-02,2,0.001,128,100,5.22352010011673,59
30,2.796e-02,2,0.0001,128,100,4.954241216182709,95
30,2.956e-02,3,0.1,128,100,5.0098424553871155,114
30,3.773e-02,3,0.01,128,100,5.770058035850525,145
30,2.782e-02,3,0.001,128,100,5.351178348064423,88
30,3.770e-02,3,0.0001,128,100,5.363146781921387,133
30,7.230e-05,1,0.1,256,10,1.9517765641212463,3
30,9.437e-03,1,0.01,256,10,1.7191495299339294,38
30,5.724e-02,1,0.001,256,10,1.2710976600646973,181
30,8.796e-02,1,0.0001,256,10,1.266610324382782,186
30,2.744e-02,2,0.1,256,10,1.206520915031433,85
30,2.039e-02,2,0.01,256,10,1.2327011227607727,68
30,2.434e-02,2,0.001,256,10,1.2249714136123657,78
30,3.025e-02,2,0.0001,256,10,1.279575228691101,118
30,3.794e-02,3,0.1,256,10,1.3581156134605408,154
30,2.786e-02,3,0.01,256,10,1.469816505908966,90
30,3.780e-02,3,0.001,256,10,1.3626028895378113,147
30,4.341e-02,3,0.0001,256,10,1.3778130412101746,175
30,1.050e-04,1,0.1,256,25,1.3503867387771606,6
30,2.354e-03,1,0.01,256,25,1.415461540222168,21
30,4.659e-03,1,0.001,256,25,1.4157112836837769,29
30,3.291e-02,1,0.0001,256,25,1.4588459134101868,120
30,1.009e-02,2,0.1,256,25,1.6897276043891907,40
30,8.877e-03,2,0.01,256,25,1.878472924232483,35
30,3.513e-02,2,0.001,256,25,1.7146601676940918,123
30,3.339e-02,2,0.0001,256,25,1.7620346546173096,121
30,3.802e-02,3,0.1,256,25,1.7904582619667053,155
30,2.917e-02,3,0.01,256,25,1.856031894683838,105
30,3.771e-02,3,0.001,256,25,1.7508143782615662,136
30,2.491e-02,3,0.0001,256,25,1.8966739773750305,79
30,1.220e-04,1,0.1,256,50,1.8625154495239258,8
30,2.379e-03,1,0.01,256,50,2.18589985370636,22
30,4.553e-03,1,0.001,256,50,2.1517414450645447,28
30,6.489e-02,1,0.0001,256,50,2.030316412448883,184
30,3.818e-02,2,0.1,256,50,2.2579575181007385,159
30,1.055e-02,2,0.01,256,50,2.3504595160484314,44
30,2.745e-02,2,0.001,256,50,2.368660807609558,86
30,8.595e-02,2,0.0001,256,50,2.3544496297836304,185
30,3.823e-02,3,0.1,256,50,2.40705806016922,161
30,1.931e-02,3,0.01,256,50,2.6758387684822083,62
30,3.771e-02,3,0.001,256,50,2.7047612071037292,140
30,3.914e-02,3,0.0001,256,50,2.500309407711029,166
30,2.802e-02,1,0.1,256,100,3.1582966446876526,96
30,1.210e-03,1,0.01,256,100,3.1757513284683228,15
30,1.438e-02,1,0.001,256,100,3.1809871196746826,53
30,5.295e-02,1,0.0001,256,100,3.115661382675171,179
30,3.802e-02,2,0.1,256,100,3.169517457485199,156
30,1.927e-02,2,0.01,256,100,3.1874691247940063,61
30,2.915e-02,2,0.001,256,100,3.451512634754181,104
30,2.913e-02,2,0.0001,256,100,3.1239140033721924,103
30,3.785e-02,3,0.1,256,100,3.4340924620628357,151
30,2.728e-02,3,0.01,256,100,3.47271466255188,83
30,3.770e-02,3,0.001,256,100,3.6412549018859863,132
30,2.992e-02,3,0.0001,256,100,3.6397593021392822,116
30,2.130e-04,1,0.1,512,10,1.6129328608512878,13
30,2.655e-03,1,0.01,512,10,1.318720281124115,26
30,3.676e-02,1,0.001,512,10,1.0850964784622192,126
30,4.038e-02,1,0.0001,512,10,1.1491745114326477,170
30,8.710e-03,2,0.1,512,10,1.1090312004089355,34
30,2.947e-02,2,0.01,512,10,1.1945526599884033,112
30,3.948e-02,2,0.001,512,10,1.1242409348487854,168
30,5.272e-02,2,0.0001,512,10,1.120002806186676,178
30,3.782e-02,3,0.1,512,10,1.3583647012710571,149
30,3.770e-02,3,0.01,512,10,1.274339497089386,131
30,3.895e-02,3,0.001,512,10,1.337919533252716,165
30,4.222e-02,3,0.0001,512,10,1.437153160572052,172
30,1.319e-03,1,0.1,512,25,1.203778088092804,18
30,1.039e-02,1,0.01,512,25,1.1848294734954834,42
30,1.125e-02,1,0.001,512,25,1.2140015959739685,50
30,5.395e-02,1,0.0001,512,25,1.2424260377883911,180
30,1.063e-02,2,0.1,512,25,1.3601104617118835,48
30,2.149e-02,2,0.01,512,25,1.5059694647789001,75
30,4.475e-02,2,0.001,512,25,1.467074692249298,176
30,3.025e-02,2,0.0001,512,25,1.6800041198730469,119
30,3.771e-02,3,0.1,512,25,1.5675544738769531,138
30,3.773e-02,3,0.01,512,25,1.5181873440742493,144
30,3.771e-02,3,0.001,512,25,1.490261733531952,135
30,4.299e-02,3,0.0001,512,25,1.507466197013855,173
30,7.268e-05,1,0.1,512,50,1.39426851272583,4
30,9.831e-03,1,0.01,512,50,1.4738063216209412,39
30,3.920e-03,1,0.001,512,50,1.6503334641456604,27
30,3.473e-02,1,0.0001,512,50,1.6204132437705994,122
30,2.931e-02,2,0.1,512,50,1.69845449924469,110
30,3.769e-02,2,0.01,512,50,1.6498345136642456,128
30,2.794e-02,2,0.001,512,50,1.6047053337097168,94
30,4.789e-02,2,0.0001,512,50,1.6485875248908997,177
30,2.792e-02,3,0.1,512,50,1.941803514957428,93
30,3.771e-02,3,0.01,512,50,1.9255965948104858,141
30,2.750e-02,3,0.001,512,50,2.003139913082123,87
30,4.125e-02,3,0.0001,512,50,2.095142960548401,171
30,1.051e-02,1,0.1,512,100,2.0664690732955933,43
30,2.301e-03,1,0.01,512,100,2.253469169139862,20
30,2.616e-03,1,0.001,512,100,2.1068626642227173,25
30,6.288e-02,1,0.0001,512,100,2.3751436471939087,183
30,2.808e-02,2,0.1,512,100,2.2143239974975586,97
30,2.035e-02,2,0.01,512,100,2.3454734683036804,65
30,3.024e-02,2,0.001,512,100,2.376390516757965,117
30,9.770e-02,2,0.0001,512,100,2.543692409992218,189
30,3.781e-02,3,0.1,512,100,2.7558748722076416,148
30,1.851e-02,3,0.01,512,100,2.9413779377937317,58
30,3.771e-02,3,0.001,512,100,2.72470760345459,137
30,9.001e-02,3,0.0001,512,100,2.4644038677215576,187
60,4.763e-05,1,0.1,64,10,1.5491048097610474,8
60,7.371e-05,1,0.01,64,10,1.5670564770698547,15
60,2.857e-03,1,0.001,64,10,1.56256765127182,46
60,2.427e-02,1,0.0001,64,10,1.5274121761322021,124
60,2.745e-02,2,0.1,64,10,1.6513301730155945,131
60,8.747e-03,2,0.01,64,10,1.8722388744354248,63
60,6.246e-03,2,0.001,64,10,1.7164059281349182,52
60,3.702e-02,2,0.0001,64,10,1.762283742427826,167
60,1.968e-02,3,0.1,64,10,1.7585437297821045,112
60,1.873e-02,3,0.01,64,10,2.0562466979026794,97
60,1.920e-02,3,0.001,64,10,1.8749827146530151,107
60,3.320e-02,3,0.0001,64,10,2.2175652384757996,160
60,8.072e-05,1,0.1,64,25,2.7060078382492065,16
60,8.434e-05,1,0.01,64,25,2.831173062324524,18
60,8.070e-04,1,0.001,64,25,2.8428915143013,33
60,1.806e-02,1,0.0001,64,25,2.7778167724609375,95
60,1.885e-02,2,0.1,64,25,3.066294014453888,100
60,8.624e-03,2,0.01,64,25,3.0662944316864014,57
60,1.086e-02,2,0.001,64,25,2.807736396789551,80
60,3.053e-02,2,0.0001,64,25,3.2463117837905884,156
60,2.755e-02,3,0.1,64,25,3.40214467048645,133
60,3.778e-02,3,0.01,64,25,3.4692152738571167,173
60,1.905e-02,3,0.001,64,25,3.4260809421539307,105
60,2.263e-02,3,0.0001,64,25,3.340808391571045,118
60,6.557e-05,1,0.1,64,50,4.4503395557403564,13
60,7.289e-05,1,0.01,64,50,4.612905204296112,14
60,9.798e-05,1,0.001,64,50,4.4461007714271545,22
60,2.319e-02,1,0.0001,64,50,4.878693163394928,121
60,2.906e-02,2,0.1,64,50,5.042006313800812,143
60,2.044e-02,2,0.01,64,50,5.169664561748505,115
60,2.729e-02,2,0.001,64,50,5.003858804702759,128
60,1.425e-02,2,0.0001,64,50,5.317767858505249,84
60,9.388e-03,3,0.1,64,50,5.7994794845581055,72
60,2.782e-02,3,0.01,64,50,6.0645201206207275,135
