Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,4.281e-05,1,0.1,128,10,2.005382776260376
60,2.495e-05,1,0.01,128,50,3.394166648387909
100,2.144e-06,1,0.01,64,25,3.0318862199783325
300,2.252e-07,1,0.01,256,100,3.53204745054245
600,7.966e-08,1,0.01,256,150,5.472853302955627
1000,4.640e-08,1,0.001,64,150,16.224579095840454
3000,1.191e-08,1,0.01,256,150,12.981009900569916
6000,2.583e-08,1,0.01,256,150,26.338262617588043
10000,2.207e-08,1,0.0001,128,300,74.94268488883972
30000,3.353e-09,1,0.01,256,500,348.02512073516846
