Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
30,1.689e-04,1,0.1,64,10,9.800272166728973,2
30,1.496e-02,1,0.01,64,10,5.503521502017975,41
30,1.780e-02,1,0.001,64,10,5.129522025585175,55
30,8.823e-02,1,0.0001,64,10,2.5713685154914856,178
30,3.185e-02,2,0.1,64,10,2.6893028020858765,83
30,5.876e-02,2,0.01,64,10,4.589218318462372,146
30,3.055e-02,2,0.001,64,10,2.4773701429367065,80
30,5.539e-02,2,0.0001,64,10,2.375144064426422,136
30,5.998e-02,3,0.1,64,10,7.459286451339722,165
30,3.003e-02,3,0.01,64,10,2.4958207607269287,75
30,4.529e-02,3,0.001,64,10,2.233523190021515,119
30,5.717e-02,3,0.0001,64,10,2.1235669255256653,139
30,5.818e-04,1,0.1,64,25,4.014256238937378,13
30,1.878e-03,1,0.01,64,25,2.813968539237976,27
30,1.260e-03,1,0.001,64,25,4.37254798412323,19
30,6.042e-02,1,0.0001,64,25,2.8020012378692627,167
30,4.537e-02,2,0.1,64,25,3.37023001909256,121
30,4.275e-02,2,0.01,64,25,3.231351852416992,96
30,3.241e-02,2,0.001,64,25,3.180239737033844,85
30,5.424e-02,2,0.0001,64,25,3.713562250137329,135
30,6.140e-02,3,0.1,64,25,3.4565001726150513,170
30,5.874e-02,3,0.01,64,25,4.2401527762413025,143
30,5.879e-02,3,0.001,64,25,3.3158758878707886,151
30,5.202e-02,3,0.0001,64,25,3.6871318221092224,134
30,1.634e-02,1,0.1,64,50,4.380526125431061,52
30,1.686e-02,1,0.01,64,50,5.138497948646545,54
30,1.693e-03,1,0.001,64,50,4.945015490055084,23
30,4.428e-02,1,0.0001,64,50,5.218035280704498,111
30,6.003e-02,2,0.1,64,50,5.1913570165634155,166
30,2.758e-02,2,0.01,64,50,5.691518306732178,60
30,2.921e-02,2,0.001,64,50,6.591359615325928,61
30,4.593e-02,2,0.0001,64,50,5.547902703285217,124
30,5.951e-02,3,0.1,64,50,5.475845098495483,162
30,5.907e-02,3,0.01,64,50,5.588543951511383,157
30,5.878e-02,3,0.001,64,50,5.474848031997681,150
30,5.895e-02,3,0.0001,64,50,5.435453772544861,156
30,5.886e-04,1,0.1,64,100,7.673962831497192,14
