Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,1.142e-04,1,0.01,128,100,4.921578824520111
60,1.614e-05,1,0.1,64,10,2.036300778388977
100,2.775e-06,1,0.01,128,100,7.279518246650696
300,3.459e-07,1,0.01,256,150,4.85450804233551
600,1.241e-07,1,0.001,64,150,14.851253926753998
1000,9.900e-08,1,0.01,256,150,6.41458261013031
3000,6.250e-09,1,0.01,256,150,11.259118437767029
6000,4.193e-09,1,0.01,256,150,21.893657326698303
10000,3.860e-09,1,0.01,256,175,48.79965025186539
30000,5.977e-09,1,0.0001,64,300,224.87019234895706
