Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
30,6.873e-05,1,0.1,64,10,2.542945146560669,7
30,1.140e-02,1,0.01,64,10,2.689553141593933,46
30,3.911e-03,1,0.001,64,10,1.6630491018295288,23
30,5.459e-02,1,0.0001,64,10,1.9757120013237,178
30,1.998e-02,2,0.1,64,10,2.0285708904266357,68
30,9.841e-03,2,0.01,64,10,1.8642611503601074,39
30,1.976e-02,2,0.001,64,10,1.8445634245872498,67
30,5.453e-02,2,0.0001,64,10,1.8580275177955627,177
30,1.855e-02,3,0.1,64,10,1.9348217248916626,58
30,3.723e-02,3,0.01,64,10,2.0278232097625732,147
30,3.717e-02,3,0.001,64,10,1.8540380001068115,134
30,4.010e-02,3,0.0001,64,10,2.1542349457740784,167
30,1.340e-04,1,0.1,64,25,2.4923301935195923,9
30,8.526e-03,1,0.01,64,25,2.8394010066986084,29
30,3.055e-03,1,0.001,64,25,2.5282344818115234,20
30,1.908e-02,1,0.0001,64,25,2.850371479988098,60
30,2.986e-02,2,0.1,64,25,2.9441211819648743,111
30,1.792e-02,2,0.01,64,25,3.049838066101074,55
30,3.717e-02,2,0.001,64,25,3.1223933696746826,135
30,2.859e-02,2,0.0001,64,25,3.150318741798401,96
30,3.849e-02,3,0.1,64,25,3.115910530090332,165
30,2.901e-02,3,0.01,64,25,3.4300705194473267,105
30,3.717e-02,3,0.001,64,25,3.196694850921631,132
30,3.757e-02,3,0.0001,64,25,3.2458131909370422,158
30,8.670e-03,1,0.1,64,50,4.253117024898529,31
30,1.073e-02,1,0.01,64,50,4.682717502117157,42
30,2.700e-03,1,0.001,64,50,4.968452990055084,19
30,1.885e-02,1,0.0001,64,50,4.39324277639389,59
30,2.966e-02,2,0.1,64,50,4.956235945224762,110
30,3.728e-02,2,0.01,64,50,5.055970907211304,150
30,2.773e-02,2,0.001,64,50,4.750037729740143,87
30,3.536e-02,2,0.0001,64,50,4.955488085746765,122
30,2.806e-02,3,0.1,64,50,5.188365042209625,92
30,3.719e-02,3,0.01,64,50,5.744127333164215,140
30,1.921e-02,3,0.001,64,50,5.508757829666138,63
30,3.715e-02,3,0.0001,64,50,5.367634952068329,125
30,8.672e-03,1,0.1,64,100,7.90434604883194,32
30,5.011e-05,1,0.01,64,100,8.540892660617828,4
30,1.394e-03,1,0.001,64,100,8.640376389026642,13
30,4.062e-03,1,0.0001,64,100,8.360624730587006,24
30,2.995e-02,2,0.1,64,100,8.70969045162201,113
30,1.914e-02,2,0.01,64,100,9.196886658668518,61
30,9.788e-03,2,0.001,64,100,8.723404586315155,37
30,2.913e-02,2,0.0001,64,100,9.457938551902771,106
30,3.834e-02,3,0.1,64,100,9.525008916854858,163
30,3.724e-02,3,0.01,64,100,9.88404756784439,148
30,2.644e-02,3,0.001,64,100,9.935909569263458,80
30,3.717e-02,3,0.0001,64,100,9.79777842760086,131
30,5.755e-05,1,0.1,128,10,2.815963864326477,5
30,1.067e-02,1,0.01,128,10,2.007377803325653,41
30,2.569e-02,1,0.001,128,10,1.6283930540084839,77
30,5.485e-02,1,0.0001,128,10,1.434909701347351,179
30,3.779e-02,2,0.1,128,10,1.5084633231163025,160
30,1.921e-02,2,0.01,128,10,1.7286241054534912,62
30,3.901e-02,2,0.001,128,10,1.4989877939224243,166
30,4.174e-02,2,0.0001,128,10,1.7448309063911438,171
30,3.755e-02,3,0.1,128,10,2.0764424204826355,157
30,2.797e-02,3,0.01,128,10,2.191385507583618,90
30,3.716e-02,3,0.001,128,10,2.182907462120056,127
30,4.094e-02,3,0.0001,128,10,1.8445638418197632,169
