Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,3.880e-05,1,0.1,256,100,3.5138458609580994
60,6.639e-06,1,0.1,128,50,2.934396505355835
100,2.345e-06,1,0.01,64,100,9.676105439662933
300,7.454e-07,1,0.001,64,150,15.232733309268951
600,2.931e-07,1,0.001,64,100,12.276146113872528
1000,2.077e-07,1,0.01,64,150,18.648093163967133
3000,7.476e-08,1,0.01,256,150,11.89516568183899
6000,3.177e-08,1,0.01,128,200,31.62137347459793
10000,3.735e-08,2,0.0001,64,300,76.27611649036407
30000,1.292e-08,3,0.0001,64,300,97.91199916601181
