Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s),Rank
30,3.468e-04,1,0.1,64,10,3.0418602228164673,17
30,9.051e-05,1,0.01,64,10,3.086988151073456,6
30,1.704e-02,1,0.001,64,10,5.992960870265961,56
30,2.027e-02,1,0.0001,64,10,3.2747355699539185,70
30,4.256e-02,2,0.1,64,10,2.9383859038352966,168
30,2.234e-02,2,0.01,64,10,2.8236995935440063,76
30,3.211e-02,2,0.001,64,10,3.567701756954193,108
30,4.214e-02,2,0.0001,64,10,9.774092614650726,167
30,4.124e-02,3,0.1,64,10,3.6811479926109314,148
30,4.110e-02,3,0.01,64,10,2.9032309651374817,143
30,1.893e-02,3,0.001,64,10,3.072277843952179,60
30,3.980e-02,3,0.0001,64,10,2.6703527569770813,116
30,9.046e-05,1,0.1,64,25,3.2921899557113647,5
30,9.575e-03,1,0.01,64,25,3.8008293509483337,37
30,1.290e-02,1,0.001,64,25,7.58968847990036,51
30,2.817e-02,1,0.0001,64,25,3.542519688606262,83
30,1.189e-02,2,0.1,64,25,6.20364785194397,48
30,1.981e-02,2,0.01,64,25,3.8222708106040955,65
30,2.960e-02,2,0.001,64,25,3.623801112174988,91
30,3.542e-02,2,0.0001,64,25,4.026973485946655,114
30,4.126e-02,3,0.1,64,25,3.725031018257141,150
30,1.894e-02,3,0.01,64,25,3.888592779636383,61
30,4.106e-02,3,0.001,64,25,3.603855073451996,123
30,4.133e-02,3,0.0001,64,25,4.182307004928589,153
30,1.348e-04,1,0.1,64,50,7.792893946170807,11
30,2.432e-03,1,0.01,64,50,7.398948132991791,25
30,2.422e-03,1,0.001,64,50,5.403788328170776,24
30,3.243e-02,1,0.0001,64,50,5.140742063522339,110
30,1.900e-02,2,0.1,64,50,5.694510221481323,62
30,1.901e-02,2,0.01,64,50,5.473850250244141,63
30,3.162e-02,2,0.001,64,50,5.794991075992584,104
30,3.589e-02,2,0.0001,64,50,5.343449652194977,115
30,3.020e-02,3,0.1,64,50,6.059034526348114,95
30,4.112e-02,3,0.01,64,50,9.562906086444855,144
30,1.996e-02,3,0.001,64,50,6.056790113449097,68
30,4.107e-02,3,0.0001,64,50,6.109400451183319,135
30,1.392e-04,1,0.1,64,100,8.84034126996994,13
30,1.182e-02,1,0.01,64,100,9.39635282754898,45
30,1.177e-03,1,0.001,64,100,9.734199285507202,20
30,7.139e-03,1,0.0001,64,100,14.928796708583832,34
30,2.969e-02,2,0.1,64,100,9.409068286418915,92
30,2.116e-02,2,0.01,64,100,11.343641221523285,72
30,9.550e-03,2,0.001,64,100,10.093238234519958,36
30,9.330e-04,2,0.0001,64,100,9.548445761203766,18
30,4.193e-02,3,0.1,64,100,11.039206206798553,165
30,4.127e-02,3,0.01,64,100,11.175840318202972,151
30,4.109e-02,3,0.001,64,100,11.150159180164337,140
30,4.107e-02,3,0.0001,64,100,11.061895668506622,131
30,9.574e-05,1,0.1,128,10,2.9087151288986206,9
30,3.675e-03,1,0.01,128,10,4.108005881309509,29
30,2.373e-02,1,0.001,128,10,1.9530231356620789,78
30,1.425e-01,1,0.0001,128,10,1.8398263454437256,190
30,3.200e-02,2,0.1,128,10,1.9452937245368958,107
30,2.932e-02,2,0.01,128,10,1.8991671800613403,87
30,3.469e-02,2,0.001,128,10,1.9916701316833496,113
30,2.477e-02,2,0.0001,128,10,1.762283980846405,80
30,4.145e-02,3,0.1,128,10,5.085638999938965,160
30,4.102e-02,3,0.01,128,10,1.9939139485359192,120
30,3.465e-02,3,0.001,128,10,2.347716987133026,112
30,4.602e-02,3,0.0001,128,10,2.3170490860939026,173
30,1.052e-02,1,0.1,128,25,2.1360332369804382,38
30,3.461e-03,1,0.01,128,25,2.2275384664535522,27
30,3.791e-03,1,0.001,128,25,2.293362319469452,30
30,5.723e-02,1,0.0001,128,25,7.419642090797424,181
30,4.140e-02,2,0.1,128,25,5.649131655693054,158
30,9.435e-03,2,0.01,128,25,3.326347768306732,35
30,1.175e-02,2,0.001,128,25,3.1852261424064636,44
30,4.073e-02,2,0.0001,128,25,2.7925270199775696,118
30,4.135e-02,3,0.1,128,25,2.8059898614883423,155
30,3.180e-02,3,0.01,128,25,2.979027032852173,105
30,2.943e-02,3,0.001,128,25,2.761609733104706,88
30,4.291e-02,3,0.0001,128,25,2.9072198271751404,170
30,1.355e-04,1,0.1,128,50,3.088234603404999,12
30,6.653e-05,1,0.01,128,50,3.3280930519104004,2
30,1.221e-02,1,0.001,128,50,3.3734716176986694,50
30,1.158e-02,1,0.0001,128,50,7.00300806760788,43
30,2.199e-02,2,0.1,128,50,3.75968861579895,74
30,4.113e-02,2,0.01,128,50,8.79471343755722,145
30,2.239e-02,2,0.001,128,50,4.581239581108093,77
30,1.783e-02,2,0.0001,128,50,7.136650383472443,58
30,4.121e-02,3,0.1,128,50,7.06309849023819,147
30,4.102e-02,3,0.01,128,50,5.231998562812805,121
30,3.066e-02,3,0.001,128,50,4.390998125076294,97
30,2.988e-02,3,0.0001,128,50,4.227935194969177,94
30,3.175e-04,1,0.1,128,100,5.078409314155579,16
30,1.182e-02,1,0.01,128,100,6.02437698841095,46
30,1.211e-03,1,0.001,128,100,8.445148408412933,21
30,2.229e-02,1,0.0001,128,100,5.702488601207733,75
30,3.161e-02,2,0.1,128,100,6.103166222572327,103
30,4.109e-02,2,0.01,128,100,9.180930435657501,138
30,1.890e-02,2,0.001,128,100,5.787511229515076,59
30,1.612e-02,2,0.0001,128,100,5.88998681306839,55
30,4.143e-02,3,0.1,128,100,8.788979530334473,159
30,4.101e-02,3,0.01,128,100,5.997948467731476,119
30,4.108e-02,3,0.001,128,100,6.204644322395325,136
30,4.106e-02,3,0.0001,128,100,6.223095118999481,124
30,8.356e-05,1,0.1,256,10,1.766023874282837,4
30,2.567e-03,1,0.01,256,10,1.9500318765640259,26
30,6.247e-02,1,0.001,256,10,1.6485877633094788,182
