Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,3.662e-05,1,0.1,512,50,3.4460278153419495
60,9.394e-06,1,0.1,512,50,1.9166203737258911
100,4.225e-06,1,0.01,256,100,3.800828695297241
300,3.154e-07,1,0.01,256,150,5.543165862560272
600,1.848e-07,1,0.001,64,150,18.343408823013306
1000,3.181e-08,1,0.01,256,150,8.025521695613861
3000,2.647e-08,1,0.001,128,150,15.511238157749176
6000,1.897e-08,1,0.01,256,150,27.427347600460052
10000,2.730e-08,1,0.01,512,300,74.95292687416077
30000,3.049e-09,1,0.0001,64,500,391.16589522361755
